"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Concurrent OPC UA information model access, enabling real-time OPC UA PubSub","P. Denzler; M. Ashjaei; T. Frühwirth; V. N. Ebirim; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Innovation Design and Engineering School, Mälardalen University, Västerås, Sweden; Research Department, Austrian Center for Digital Production, Vienna, Austria; Innovation Design and Engineering School, Mälardalen University, Västerås, Sweden; Institute of Computer Engineering, TU Wien, Vienna, Austria","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","4","Ongoing changes in industrial automation aim to-wards a flat and highly interconnected architecture that includes end-to-end real-time enabled machine-to-machine communications. Several technologies, such as OPC Unified Architecture (OPC UA) publish-subscribe and time-sensitive networking (TSN), facilitate that change. While OPC UA PubSub and TSN can already provide real-time capabilities, the parallel operation with standard OPC UA client-server remains an open challenge. This article presents preliminary results for solving concurrent information model access between OPC UA PubSub and client-server. The results include the overall RT-TSN-OPC UA concept, an analysis of common concurrent data access mechanisms for their suitability, and identifying critical code segments in the open62541 OPC UA stack. The paper concludes by outlining further research focusing on implementing and evaluating a wait-and obstruction-free mechanism into open62541.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921438","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921438","OPC Unified Architecture;TSN;real-time Pub-Sub","Machine-to-machine communications;Codes;Focusing;Publish-subscribe;Real-time systems;Standards;Manufacturing automation","client-server systems;message passing","concurrent OPC UA information model access;real-time OPC UA PubSub;industrial automation;interconnected architecture;machine-to-machine communications;OPC unified architecture;time-sensitive networking;client-server;RT-TSN-OPC UA concept;open62541 OPC UA stack;wait-and-obstruction-free mechanism;code segment;concurrent data access mechanisms","","","","18","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"On automatic generation of OPC UA connections in IEC 61499 automation systems","T. Lyu; U. D. Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2022 IEEE 5th International Conference on Industrial Cyber-Physical Systems (ICPS)","18 Jul 2022","2022","","","1","6","Demand for customization and the need to adapt to rapidly changing global markets have increased the demand for digitalization and intelligent manufacturing. Unlike traditional factories, smart factories aim for high digitalization and efficiency of IT technology adoption. The digital twin is a major enabler of the smart factory. Digital twin provides virtual models, cloud services and data connections among real and virtual components. The engineered kinematics of virtual models must dynamically behave like physical elements. This paper proposes an algorithm and implements the software tool for the automatic generation of OPC UA connections between the IEC 61499-based control application and the OPC UA server. The main contribution is that virtual models can easily and quickly subscribe to published Input/Output (I/O) variables via OPC UA standard.","","978-1-6654-9770-1","10.1109/ICPS51978.2022.9816861","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816861","IEC 61499;OPC UA;data connections;smart factory","Heuristic algorithms;Software algorithms;Kinematics;Production facilities;Digital twins;Servers;IEC Standards","application program interfaces;factory automation;IEC standards;intelligent manufacturing systems;production engineering computing;virtual reality","smart factory;digitalization;digital twin;virtual models;cloud services;data connections;virtual components;OPC UA connections;OPC UA server;IEC 61499 automation systems;intelligent manufacturing;IT technology adoption;software tool","","","","18","IEEE","18 Jul 2022","","","IEEE","IEEE Conferences"
"Transforming OPC UA Information Models into Domain-Specific Ontologies","G. Steindl; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria","2021 4th IEEE International Conference on Industrial Cyber-Physical Systems (ICPS)","5 Jul 2021","2021","","","191","196","Semantics interoperability is important for cyber-physical systems to enable complex data processing and facilitating interworking. OPC Unified Architecture (OPC UA) provides an extensible information model but lacks formal semantics. Ontologies based on the Web Ontology Language (OWL) can provide such formal semantics. Thus, we present a transformation approach that converts OPC UA information models (or only parts of them) into domain-specific ontologies. The transformation process consists of two steps. The first step is a mapping from OPC UA to OWL Full. The second step performs a graph transformation, based on SPARQL rules, into the domain-specified target ontology. The adaption of this transformation to the source information model and the target ontology can be accomplished by only adapting these transformation rules. The presented approach is evaluated for a use case of an industrial heating process to show its flexibility.","","978-1-7281-6207-2","10.1109/ICPS49255.2021.9468254","TU; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9468254","information modeling;ontology;model transformation;OPC UA","Heating systems;Adaptation models;Conferences;Semantics;OWL;Ontologies;Cyber-physical systems","knowledge representation languages;ontologies (artificial intelligence);open systems","domain-specified target ontology;source information model;transformation rules;OPC UA information models;domain-specific ontologies;semantics interoperability;cyber-physical systems;complex data processing;facilitating interworking;OPC Unified Architecture;extensible information model;formal semantics;Web Ontology Language;transformation approach;transformation process;graph transformation","","","","21","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
"OPC UA Information Model and a Wrapper for IEC 61499 Runtimes","I. Seilonen; V. Vyatkin; U. D. Atmojo","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2019 IEEE 17th International Conference on Industrial Informatics (INDIN)","30 Jan 2020","2019","1","","1008","1013","OPC UA is considered as an important communication technology for Industry 4.0 components. On the other hand, IEC 61499 is one of the technologies available for developing applications to the same components. In this paper, a proposal for an OPC UA information model for IEC 61499 systems is developed in order to enhance communication with IEC 61499 applications through OPC UA. Already existing related information models, particularly OPC UA for Devices and IEC 61131-3, are utilized as models and parts of the design. An OPC UA wrapper for IEC 61499 runtimes is presented as one possible way to implement the information model. Both the information model and the wrapper are then tested through a case study.","2378-363X","978-1-7281-2927-3","10.1109/INDIN41052.2019.8971964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8971964","OPC UA;IEC 61499;Information Model;Wrapper","","IEC standards;production engineering computing","IEC 61131-3;Industry 4.0 components;communication technology;OPC UA wrapper;IEC 61499 runtimes;information model design","","5","","23","IEEE","30 Jan 2020","","","IEEE","IEEE Conferences"
"Modelling Industrial Cyber-Physical Systems using IEC 61499 and OPC UA","W. Dai; Y. Song; Z. Zhang; P. Wang; C. Pang; V. Vyatkin","Shanghai Jiao Tong University, China; Shanghai Jiao Tong University, China; Shanghai Jiao Tong University, China; Chinese Academy of Science, Shenyang Institute of Automation; Zhuxi Wisdom Valley, Jiangmen Goobotics Research Institute, Jiangmen, China; Luleå University of Technology, Sweden and Aalto University, Finland","2018 IEEE 16th International Conference on Industrial Informatics (INDIN)","27 Sep 2018","2018","","","772","777","Industrial Cyber-Physical Systems (iCPS) are considered as the enabling technology for achieve Industry 4.0. One main characteristic of the iCPS is the information transparency to allow interoperability among various devices and systems. The OPC UA provides a common information model for connecting Industry 4.0 components. On the other hand, the IEC 61499 is commonly used as an executable modeling language for iCPS. The IEC 61499 function block network provides an abstract view of the system configuration. By combining IEC 61499 and OPC UA, a visual executable model for iCPS is completed. In this paper, the mapping between two standards are provided and a case study of the proposed mapping is given.","2378-363X","978-1-5386-4829-2","10.1109/INDIN.2018.8472099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472099","Industrial Cyber-Physical Systems;Executable Modelling Language;IEC 61499 Function Blocks;OPC-UA;Interoperability","IEC Standards;Sockets;Plugs;IEEE Senior Members;Indexes;Cyber-physical systems;Interoperability","cyber-physical systems;factory automation;IEC standards;open systems;production engineering computing","OPC UA;common information model;executable modeling language;iCPS;IEC 61499 function block network;system configuration;visual executable model;information transparency;industrial cyber-physical systems modelling;interoperability;Industry 4.0 components","","6","","25","IEEE","27 Sep 2018","","","IEEE","IEEE Conferences"
"Towards an OPC UA Compliant Programming Approach with Formal Model of Computation for Dynamic Reconfigurable Automation Systems","U. D. Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Finland; Department of Electrical Engineering and Automation, Aalto University, Finland","2019 IEEE 17th International Conference on Industrial Informatics (INDIN)","30 Jan 2020","2019","1","","140","146","This paper proposes Service Oriented SystemJ - OPC UA (SOSJ - OPC UA), a service-oriented programming approach which targets dynamic industrial manufacturing systems. An extension of SOSJ, SOSJ - OPC UA utilizes OPC UA standard to introduce service orientation, enable interoperability with different actors in the systems, and compliance with Reference Architecture Model for Industrie 4.0 (RAMI 4.0) which defines OPC UA as the communication standard. The paper begins by describing new concept on the synergy of SOSJ and OPC UA. Then, SOA information exchange mechanisms which utilize OPC UA are defined that enable parties to find each other. SOSJ - OPC UA is then demonstrated in a simple manufacturing example to demonstrate its capability.","2378-363X","978-1-7281-2927-3","10.1109/INDIN41052.2019.8972084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8972084","programming approach;service-oriented architecture;reconfigurable manufacturing;formal model of computation;OPC UA;Industry 4.0;RAMI 4.0","","manufacturing systems;production engineering computing;service-oriented architecture;software architecture","OPC UA compliant programming approach;dynamic reconfigurable automation systems;SOSJ - OPC UA;service-oriented programming approach;dynamic industrial manufacturing systems;reference architecture model;service oriented SystemJ - OPC UA;Industrie 4.0","","3","","25","IEEE","30 Jan 2020","","","IEEE","IEEE Conferences"
"Applying Skill-based Engineering using OPC-UA in Production System with a Digital Twin","P. Jhunjhunwala; U. D. Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","2021 IEEE 30th International Symposium on Industrial Electronics (ISIE)","1 Nov 2021","2021","","","1","6","The increasing demand for flexibility in the production industry has brought the need for plug and produce systems, in which components from various vendors and suppliers can be easily integrated into the production plant and without a lot of effort on the ground-level these components can be controlled. This paper proposes a novel engineering approach, combining the IEC 61499 component-based organisation of software with high-level command interface, known as skills, communicated between the components via OPC-UA. The approach is illustrated on a laboratory-scale flexible assembly system, composed of pneumatic jacks, mechatronic conveyors, robots and AGV's. The proposed platform demonstrates the ease of improving flexibility in the production scenarios.","2163-5145","978-1-7281-9023-5","10.1109/ISIE45552.2021.9576342","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9576342","Skill;IEC 61499;OPC-UA","Automation;Mechatronics;Digital twin;Computer architecture;Pneumatic systems;Software;IEC Standards","automatic guided vehicles;conveyors;IEC standards;mechatronics;object-oriented programming;production engineering computing;program diagnostics","skill-based engineering;OPC-UA;production system;digital twin;production industry;production plant;ground-level;engineering approach;high-level command interface;laboratory-scale flexible assembly system;production scenarios","","2","","14","IEEE","1 Nov 2021","","","IEEE","IEEE Conferences"
"Static Timing Analysis of OPC UA PubSub","P. Denzler; T. Frühwirth; A. Kirchberger; M. Schoeberl; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Research Department, Austrian Center for Digital Production, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Department of Applied Mathematics and Computer Science, Technical University of Denmark, Lyngby, Denmark; Institute of Computer Engineering, TU Wien, Vienna, Austria","2021 17th IEEE International Conference on Factory Communication Systems (WFCS)","16 Jul 2021","2021","","","167","174","Industrial automation is changing towards higher integration and seamless communication. A stepping stone is end-to-end real-time machine-to-machine communication, now becoming feasible with technologies such as time-sensitive networking (TSN) and OPC Unified Architecture (OPC UA) publish-subscribe. While TSN takes care of communication, the OPC UA stack's execution time behavior remains unknown. This paper highlights experiences made while adjusting the OPC UA subscriber of the open62541 stack for worst-case execution time (WCET) analysis. Two directly connected time-predictable T-CREST platforms hosting the publisher and subscriber delivered end-to-end timing measures validating the WCET estimates. The paper concludes by outlining further research with several time-predictable publishers and subscribers.","","978-1-6654-2478-3","10.1109/WFCS46889.2021.9483614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9483614","worst-case execution time;industrial software;real-time communication;OPC UA","Machine-to-machine communications;Decision making;Publish-subscribe;Data transfer;Real-time systems;Production facilities;Timing","embedded systems;message passing;middleware;multiprocessing systems;program diagnostics;real-time systems;software architecture;timing","static timing analysis;OPC UA PubSub;industrial automation;seamless communication;stepping stone;end-to-end real-time machine-to-machine;time-sensitive networking;TSN;OPC Unified Architecture;OPC UA stack;OPC UA subscriber;open62541 stack;worst-case execution time analysis;subscriber delivered end-to-end timing measures;time-predictable publishers","","2","","39","IEEE","16 Jul 2021","","","IEEE","IEEE Conferences"
"Timing Analysis of TSN-Enabled OPC UA PubSub","P. Denzler; T. Frühwirth; D. Scheuchenstuhl; M. Schoeberl; W. Kastner","Institute of Computer Engineering, Vienna, Austria; Austrian Center for Digital Production, Vienna, Austria; Institute of Computer Engineering, Vienna, Austria; Department of Applied Mathematics and Computer Science, Technical University of Denmark, Lyngby, Denmark; Institute of Computer Engineering, Vienna, Austria","2022 IEEE 18th International Conference on Factory Communication Systems (WFCS)","26 May 2022","2022","","","1","8","Industrial automation is changing towards a flat and highly interconnected architecture, with requirements for end-to-end real-time enabled machine-to-machine communications. Technologies such as time-sensitive networking (TSN) and OPC Unified Architecture (OPC UA) publish-subscribe provide the necessary features. While TSN is well explored, OPC UA's execution time behavior remains unknown. This article presents findings made while extending the open62541 OPC UA Pub Sub stack with the 802.1q VLAN tag to enable IEEE 802.1Qbv time-aware scheduling. The results include end-to-end timing measures and worst-case execution time analyses considering various payloads. Time-predictable T-CREST platforms host the publisher and subscriber, and a TSN network handles message transmission. The paper concludes by outlining further research focusing on dynamic memory access, buffer management, and the inclusion of non-priority access to the Ethernet port.","","978-1-6654-1086-1","10.1109/WFCS53837.2022.9779177","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9779177","worst-case execution time;time-sensitive net-working (TSN);real-time communication;OPC UA","Job shop scheduling;Memory management;Ethernet;Publish-subscribe;Real-time systems;Production facilities;Timing","IEEE standards;local area networks;message passing","time-predictable T-CREST;publisher;subscriber;TSN network;TSN-enabled OPC UA PubSub;industrial automation;flat architecture;interconnected architecture;machine-to-machine communications;time-sensitive networking;OPC Unified Architecture;open62541 OPC UA Pub Sub stack;802.1q VLAN tag;IEEE 802.1Qbv time;end-to-end timing measures;worst-case execution time analysis;OPC UA execution time behavior","","","","35","IEEE","26 May 2022","","","IEEE","IEEE Conferences"
"Ontology-Based OPC UA Data Access via Custom Property Functions","G. Steindl; T. Frühwirth; W. Kastner","Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria; Institute of Computer Engineering, TU Wien, Vienna, Austria","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","95","101","Cyber Physical Production Systems have a need of sharing and interlinking information and knowledge over different domains. In the area of industrial automation, OPC Unified Architecture (OPC UA) is a widely used and established standard for communication and information modeling. We propose an ontology-based OPC UA data access method utilizing custom property functions, which enables interlinking between OPC UA information and other factory data. To avoid duplicated data and to reduce the communication overhead in the proposed method, the OPC UA run-time data are loaded on-demand and are not persistently stored in the triplestore. To enable fast and easy ontology-based access and interlinking of the OPC UA information, the needed ontology is automatically generated from the OPC UA information model. A proof of concept demonstrates the application of our approach for a laboratory use-case of a Packed-Bed Regenerator.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869436","OPC Unified Architecture;Semantic Web;Ontology;Cyber Physical Production Systems","Resource description framework;Ontologies;Servers;OWL;Object oriented modeling;Triples (Data structure)","cyber-physical systems;electronic data interchange;ontologies (artificial intelligence);production engineering computing","factory data;duplicated data;communication overhead;OPC UA run-time data;OPC UA information model;custom property functions;Cyber Physical Production Systems;interlinking information;industrial automation;OPC Unified Architecture;information modeling;ontology-based OPC UA data access method;ontology-based access","","10","","27","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
