Title,Abstract
The Specifics of Building a Cross-Platform OPC UA Server for a CNC System,"There is a justified need for a cross-platform implementation of an OPC UA server for a CNC system. The available open-source libraries that implement the OPC UA stack have been analyzed, and a solution based on open62541 has been selected. An architectural model for the interaction between the OPC UA server and the CNC system core has been proposed. In addition to the traditional mechanism for obtaining current data values from the CNC system core, the OPC UA server implements a mechanism for working with historical data and a mechanism for controlling the CNC system by sending commands through a control channel via a callback method. Class diagrams illustrating the implementation of these mechanisms have been provided. An OPC UA client has been developed in C# programming language for testing the cross-platform OPC UA server of the CNC system."
A Domain-Driven Design Oriented OPC UA Server Development Methodology for CPPS,"Software has become an integral part of production automation systems and it is going to play a key role in the realization of Cyber-Physical Production Systems (CPPSs), a software-defined futuristic smart production environment. However, the emergence of CPPS has led to the development of a new genre of software tools that aims to bridge the gap between the machine world and the software domain. Examples of such tools are Open Platform Communication Unified Architecture (OPC UA) based software applications that are seen as potential enablers for CPPS. Building OPC UA server applications for CPPS could pose multiple challenges which could be addressed using established software development approaches. In this paper, we investigated the well-known Domain-Driven Design (DDD) based software development concept and its applicability regarding the development of an OPC UA server application for CPPS."
Smart Energy Town: Constructing OPC UA-Based Network Architecture,"This paper focuses on the integration of Open Platform Communication Unified Architecture (OPC UA) technology in the context of smart energy towns. With the increasing importance of carbon neutrality, efforts are being made to replace power generation with carbon reduction technologies based on renewable energy. However, challenges arise in terms of system integration and interoperability in smart energy towns, which require the coordination of diverse energy sources and ensuring network stability and security. By applying OPC UA, this paper aims to efficiently manage heterogeneous systems, and enable system expansion and emergency response. The paper presents the architecture of a smart energy town, discusses network establishment, implementation of OPC UA-based semantic energy devices, and provides a case study of a SCADA system. This paper contributes to the effective management and integration of distributed energy assets in smart energy towns."
Seamless Integration of Legacy Industrial Systems with OPC UA for Enhanced Digital Transformation,"The integration of legacy systems with modern control technologies is a significant challenge in the digital transformation of industrial environments. Many facilities still rely on outdated equipment that lacks compatibility with contemporary communication standards like OPC UA (Open Platform Communications Unified Architecture). This paper proposes a comprehensive solution to bridge this gap by developing OPC UA wrappers and adapters that facilitate communication between legacy systems and modern control infrastructures. The approach involves translating data from various legacy protocols into the OPC UA format, enabling seamless data exchange and interoperability. A central OPC UA server is implemented to aggregate and normalize data, providing a unified and secure platform for real-time monitoring and control. The proposed solution was evaluated in a simulated industrial environment, demonstrating effective data integration, enhanced performance, robust security, and high operator satisfaction. The results validate the feasibility of using OPC UA to integrate legacy systems, supporting digital transformation and fostering a more connected industrial ecosystem."
Design and Implementation of Control System for Deep-Sea Dry Recovery Unit Based on OPC UA,"This paper designs and develops a control system based on the OPC UA for the requirements of the deep-sea dry recovery unit. In terms of hardware, the idea of decentralized collection and centralized control is adopted, with multiple IO modules arranged to collect device data. On the software side, establish the OPC UA information model and server to store the status data uploaded by the IO module, and send user instructions to the IO modules to generate a control signal output to devices. The user interface development was completed using QML language, based on the OPC UA client. Finally, the system functionality was verified through prototype testing."
OPC UA over TSN (Time Sensitive Network) for Vertical and Machine to Machine Communication,"This report introduces OPC UA (Open Platform Communication- Unified Architecture) over TSN (Time Sensitive Network), a transformative technology for Industry 4.0. Combining OPC UA's vendor-independent and secure data exchange capabilities with the precision and determinism of TSN, OPC UA TSN is poised to revolutionize industrial communication. It enables horizontal and vertical data exchange in smart factories, offering a robust solution for control-level communication. The report discusses its architectural foundations, key technologies, and practical implementations. By seamlessly integrating with existing industrial systems, OPC UA over TSN is set to meet the evolving requirements of Industry 4.0. Its potential for reducing latency and enhancing performance makes it a promising solution for the future of smart manufacturing."
"A Survey on OPC UA Protocol: Overview, Challenges and Opportunities","Industrial communication plays a crucial role in modern automation by enabling control, monitoring, quality assessment, maintenance, and integration of management systems in production and manufacturing processes. OPC UA has emerged as one of the most widely utilized protocols in recent years, as evidenced by its growing number of applications, and is considered to be one of the most promising protocols for the future. Given its significance, this work aims to provide an overview that characterizes the current state of the protocol. To accomplish this, a systematic review of 238 relevant studies was conducted to extract relevant data. The results obtained provide an up-to-date overview of the field, as well as identify several potential research directions, challenges, and opportunities for further research on OPC UA."
OPC UA Implementation for Industrial Automation - Part 1: Evaluating the Performance of PubSub Model,"OPC UA (Open Platform Communications Unified Architecture) is emerging as the leading technology for facilitating machine-to-machine (M2M) and machine-to-cloud (M2C) communications in the field of industrial automation. It provides a unified protocol that enables seamless data transfer from sensors to the cloud, making it a widely adopted standard. With the introduction of Part 14: Publisher and Subscriber (PubSub) to the OPC specification, M2M communication with a shared information model becomes possible, offering scalability and efficiency in data exchange between machines. In this view, this paper aims to evaluate the applicability of the newly introduced PubSub model for industrial communications. Specifically, this research focuses on analyzing the performance of the OPC UA stack using two different operating systems: Embedded Linux (open source) and VxWorks (proprietary RTOS). The performance metric utilized is the Round-trip time (RTT), which measures the time required for data to complete one closed loop. The experimental results show that OPC UA PubSub exhibits robust performance, indicating its suitability for real-time industrial use cases."
Broker-Less OPC UA PubSub Communication Model Performance Analysis,"The advent of Industrial Internet of Things (IIoT) has accelerated the adoption of OPC UA (Object Linking and Embedding for Process Control Unified Architecture) PubSub communication models, enabling efficient data exchange in industrial automation systems. This study delves into the performance analysis of a broker-less OPC UA PubSub communication model, a paradigm gaining prominence for its potential to streamline communication in distributed systems. Our methodology involves the establishment of a representative test environment, configuration of OPC UA PubSub components without an intermediary broker, and the design of diverse test scenarios. The results of this performance analysis not only reveal the inherent capabilities of the broker-less OPC UA PubSub communication model but also identify potential bottlenecks and areas for optimization. This research advances our understanding of broker-less OPC UA PubSub communication models, offering empirical evidence of their performance in diverse scenarios."
Design and Implementation of an OPC UA-Based Cloud System for the Management of Distributed Microgrid Networks,"This paper presents an Open Platform Communications Unified Architecture (OPC UA)-based cloud system designed for managing distributed microgrid networks. The paper proposes a three-layer model specifically tailored to manage microgrids within cloud environments and defines an appropriate level of the information model for each layer. Moreover, the use of the JSON format for transmitting the OPC UA information model within the cloud environment is emphasized. A detailed diagram, tailored for a testbed at SeoulTech University, is illustrated to showcase the system's potential application in the context of distributed microgrids. This diagram is intended for future application to the testbed, demonstrating its practical utility in managing distributed microgrids. The discussion also encompasses the communication protocols necessary for each layer, offering a comprehensive understanding of the operational requirements of the proposed cloud system."
