Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,
An Approach for Data Pipeline with Distributed Query Engine for Industrial Applications,A. Ghosh Chowdhury; M. Illian; L. Wisniewski; J. Jasperneite,"inIT – Institute Industrial IT, Technische Hochschule Ostwestfalen-Lippe, Lemgo, Germany; Computer Networks Group, Paderborn University, Paderborn, Germany; inIT – Institute Industrial IT, Technische Hochschule Ostwestfalen-Lippe, Lemgo, Germany; Fraunhofer IOSB-INA, Lemgo, Germany",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),5 Oct 2020,2020,1,,1005,1008,"The data driven services in industrial automation systems are transforming the world of automation industry by optimizing industrial processes and providing Value Added Services (VASs) with the grace of Industry 4.0, Big Data and Artificial Intelligence (AI). A demand driven data pipeline is essential to connect different industrial data sources in a shop floor with different data storage systems for service provisioning. This paper analyzes an experimental approach and corresponding challenges to optimize computing resource allocation in industrial applications to construct such demand driven data pipeline to provide data driven services through an open source, flexible and extensible distributed query engine known as Presto, which can perform interactive analytical queries for different purposes such as condition monitoring, asset management or many others.",1946-0759,978-1-7281-8956-7,10.1109/ETFA46521.2020.9212050,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212050,Industry 4.0;OPC Unified Architecture (OPC UA);Kafka;Presto;Data Pipeline,Industries;Soft sensors;Conferences;Pipelines;Distributed databases;Fourth Industrial Revolution;Resource management,artificial intelligence;asset management;Big Data;condition monitoring;factory automation;pipeline processing;production engineering computing;public domain software;query processing;resource allocation;search engines;storage management,AI;artificial intelligence;Industry 4.0;VASs;value added services;asset management;condition monitoring;interactive analytical queries;Presto;computing resource allocation optimization;data driven services;open source distributed query engine;service provisioning;data storage systems;industrial data sources;demand driven data pipeline;Big Data;industrial process optimization;automation industry;industrial automation systems;industrial applications,,4,,17,IEEE,5 Oct 2020,,,IEEE,IEEE Conferences,,,
Applications of OPC UA Client Server Mode on EPICS Researches,J. Guan; P. Chen; W. Tong; X. Jin; P. E,"School of Electrical Engineering and Automation, Harbin Institute of Technology, Harbin, China; Academy of Military Sciences PLA China, Beijing, China; School of Electrical Engineering and Automation, Harbin Institute of Technology, Harbin, China; School of Electrical Engineering and Automation, Harbin Institute of Technology, Harbin, China; School of Electrical Engineering and Automation, Harbin Institute of Technology, Harbin, China","2018 Eighth International Conference on Instrumentation & Measurement, Computer, Communication and Control (IMCCC)",26 Mar 2020,2018,,,1160,1164,"The Experimental Physics and Industrial Control System (EPICS) is a standard development tool and middleware for the Supervisory Control and Data Acquisition (SCADA) of large scientific projects. If EPICS exchanges data with different SCADA, the problem need to be solved by a communication specification. We choose Object Linking and Embedding for Process Control Unified Architecture (OPC UA) Client Server mode as the data exchange interface between EPICS and other SCADA. In this paper we use LabVIEW to develop related applications and test them in simulated industrial Ethernet. The test results meet the data exchange requirements between different SCADA, and the method provides an effective solution for the data exchange problems of large scientific projects.",2373-6844,978-1-5386-8246-3,10.1109/IMCCC.2018.00241,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9045342,Experimental Physics and Industrial Control System (EPICS);Supervisory Control and Data Acquisition (SCADA);Object Linking and Embedding for Process Control Unified Architecture (OPC UA);Data exchange,,client-server systems;control engineering computing;data acquisition;electronic data interchange;local area networks;middleware;process control;SCADA systems;virtual instrumentation,Object Linking;Process Control Unified Architecture Client Server mode;data exchange interface;simulated industrial Ethernet;data exchange requirements;scientific projects;EPICS researches;standard development tool;middleware;supervisory control and data acquisition;EPICS exchanges data;communication specification;OPC UA client server mode;LabVIEW;large scientific projects,,,,13,IEEE,26 Mar 2020,,,IEEE,IEEE Conferences,,,
Standalone OPC UA Wrapper for Industrial Monitoring and Control Systems,W. Kim; M. Sung,"Department of Mechanical and Information Engineering, The University of Seoul, Seoul, South Korea; Department of Mechanical and Information Engineering, The University of Seoul, Seoul, South Korea",IEEE Access,23 Jul 2018,2018,6,,36557,36570,"OPC unified architecture (UA), a communication standard for the manufacturing industry, enables exchanging control and management data among distributed entities in industrial automation systems. OPC UA wrapper is a migration strategy that provides UA clients with seamless access to legacy servers having OPC classic interfaces. This paper presents the design of a standalone OPC UA wrapper and discusses its performance through extensive experiments using a prototype implementation. The wrapper consists of two main components, i.e., UA server and classic client, which communicate with each other via shared memory and semaphore. One important feature of the design is that it employs a distributed component object model runtime library implemented in Java for platform independence. This makes it possible to build a cost-competitive wrapper system by using commercial off-the-shelf non-Windows solutions with low-cost microprocessors. Another key feature is the event-driven update interface between the UA and classic components, which we propose as an alternative to the sampling-based mechanism for the reduced delay. Through experiments using workloads from an industrial monitoring system, we present a systematic approach of identifying the system parameters having a direct impact on the wrapper performance and eventually tuning them such that the read and subscription services of OPC UA exhibit the best performance.",2169-3536,,10.1109/ACCESS.2018.2852792,University of Seoul; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8403102,OPC unified architecture;OPC UA wrapper;monitoring and control systems;read and subscription service,Servers;Monitoring;Standards;Control systems;Delays;Automation;Prototypes,client-server systems;factory automation;Internet;Java;process monitoring;software architecture;user interfaces,control systems;standalone OPC UA wrapper;wrapper performance;system parameters;industrial monitoring system;classic components;event-driven update interface;cost-competitive wrapper system;distributed component object model runtime library;semaphore;shared memory;classic client;prototype implementation;OPC classic interfaces;legacy servers;seamless access;migration strategy;industrial automation systems;distributed entities;management data;manufacturing industry;communication standard;OPC unified architecture,,20,,48,OAPA,4 Jul 2018,,,IEEE,IEEE Journals,,,
Real-time capable OPC-UA Programs over TSN for distributed industrial control,C. Eymüller; J. Hanke; A. Hoffmann; M. Kugelmann; W. Reif,"Institut for Software and Systems Engineering, University of Augsburg, Augsburg, Germany; Institut for Software and Systems Engineering, University of Augsburg, Augsburg, Germany; Institut for Software and Systems Engineering, University of Augsburg, Augsburg, Germany; Institut for Software and Systems Engineering, University of Augsburg, Augsburg, Germany; Institut for Software and Systems Engineering, University of Augsburg, Augsburg, Germany",2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),5 Oct 2020,2020,1,,278,285,"A key aspect of Industry 4.0 is the continuous interconnectedness of components. The standardized industrial communication protocol OPC UA offers a solution to this problem by enabling the exchange of data between the shop floor level and the inter-enterprise level. Due to the integration of the Time Sensitive Network (TSN) into OPC UA, it is now even possible to exchange information in real-time. Especially on the shop floor, there are numerous heterogeneous distributed devices from sensors to robots which must communicate with each other in real-time to achieve a distributed industrial control. Therefore, we propose an approach to combine real-time communication over TSN with OPC UA Programs to synchronize multiple distributed OPC UA Programs and exchange process data between them without losing real-time guarantees. This can be seen as the enabler of Plug-and-Produce with real-time requirements.",1946-0759,978-1-7281-8956-7,10.1109/ETFA46521.2020.9212171,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212171,OPC UA Programs;OPC UA PubSub over TSN;Time-Sensitive Networking;Skills;Plug-and-Produce,Protocols;Service robots;Process control;Robot sensing systems;Real-time systems;Topology;Sensors,control engineering computing;distributed control;industrial control;message passing;middleware;production engineering computing;protocols,TSN;distributed industrial control;standardized industrial communication protocol OPC UA;shop floor level;inter-enterprise level;time sensitive network;heterogeneous distributed devices;real-time communication;multiple distributed OPC UA Programs;real-time guarantees;real-time capable OPC-UA Programs;Industry 4.0;Plug-and-Produce,,11,,26,IEEE,5 Oct 2020,,,IEEE,IEEE Conferences,,,
Querying OPC UA information models with SPARQL,R. Schiekofer; M. Weyrich,Siemens AG, University of Stuttgart,2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),17 Oct 2019,2019,,,208,215,"OPC UA is one of the most important communication protocols for IIoT applications in the automation domain. One important requirement for Industry 4.0 scenarios is standardized semantics, which is introduced into OPC UA through Companion Specifications. Nevertheless, OPC UA still lacks a comfortable interface for accessing these huge graphs, especially on the edge- and cloud-layer. Of course, there is a query language specified for OPC UA. However, to the best of our knowledge, there is no publicly available implementation.In this paper, we will present how SPARQL can be used to query OPC UA graphs natively and also will present rules to transform OPC UA queries into SPARQL queries. Furthermore, we will highlight some issues of OPC UA Query and how they can be bypassed by native SPARQL. Finally, we were able to correctly execute all nine example queries of OPC UA Part 4 Annex B (complex examples) with both approaches.",1946-0759,978-1-7281-0303-7,10.1109/ETFA.2019.8868246,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8868246,OPC UA;Query;SPARQL;Information Model;OPC UA Query;OWL;Semantic Web;RDF;RDF(S);Mapping,OWL;Semantics;Database languages;Interoperability;Industries;Resource description framework;Standards,cloud computing;graph theory;Internet of Things;production engineering computing;protocols;query languages;query processing,communication protocols;query language;SPARQL queries;OPC UA Part 4 Annex B;querying OPC UA information models;companion specifications;comfortable interface;cloud-layer;edge layer;query OPC UA graphs;Industry 4.0;standardized semantics;IIoT applications;automation domain,,8,,26,IEEE,17 Oct 2019,,,IEEE,IEEE Conferences,,
Evaluation and Extension of OPC UA Publish/Subscribe MQTT Binding,H. Raddatz; E. Mahmoud; F. Hölzke; P. Danielis; D. Timmermann; F. Golatowski,"Institute of Applied Microelectronics and CE; Institute of Applied Microelectronics and CE; Institute of Applied Microelectronics and CE; Department of Computer Science, University of Rostock, Rostock, Germany; Institute of Applied Microelectronics and CE; Institute of Applied Microelectronics and CE",2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS),4 Dec 2020,2020,1,,543,548,"Currently, Open Platform Communication Unified Architecture (OPC UA) is nominated as a reference standard to meet all Industry 4.0 demands with one protocol, enabling an efficient communication between devices in industrial systems. Recently, OPC UA has been extended by a publish/subscribe pattern to support multicast communication since there is a need for an efficient data aggregation and distribution to cope with the increasing number of controllers, sensors, and measured values in industries. Message Queuing Telemetry Transport (MQTT) is the most widely used publish/subscribe communication protocol and is based on a central broker for message exchange. In this paper, the communication latency of OPC UA end devices exchanging data over MQTT as a broker-based middleware is investigated and compared to the client/server-based communication. In particular, we analyze the use case of one-to-many communication for a crane model from the material handling domain. We provide a prototype implementation of the OPC UA MQTT extension and our evaluation results show the reduced traffic overhead and communication latency compared to client/server-based communication.",,978-1-7281-6389-5,10.1109/ICPS48405.2020.9274696,Ministry of Education; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274696,OPC UA;publish/subscribe;OPC UA part 14;MQTT;material handling;Industry 4.0;open62541,Protocols;Middleware;Encoding;Standards;Semantics;Industries;Servers,client-server systems;message passing;middleware;multicast communication;queueing theory;telemetry;transport protocols,crane model;publish/subscribe communication protocol;broker-based middleware;OPC UA end devices;message exchange;central broker;Message Queuing Telemetry Transport;efficient data aggregation;multicast communication;industrial systems;reference standard;Open Platform Communication Unified Architecture,,2,,11,IEEE,4 Dec 2020,,,IEEE,IEEE Conferences,,,
Generation of OPC UA Companion Specification with Eclipse Modeling Framework,S. Friedl; C. von Arnim; A. Lechler; A. Verl,"Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW) University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW) University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW) University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW) University of Stuttgart, Stuttgart, Germany",2020 16th IEEE International Conference on Factory Communication Systems (WFCS),11 Jun 2020,2020,,,1,7,"Open Platform Communications Unified Architecture (OPC UA) is a relevant technology in the field of machine-to-machine communication that defines data transport protocols and standardizes information modeling. Instead of defining a generalized world model, domain-specific models enable interoperability. These domain-specific models can be developed and released as Companion Specifications. More than 40 Companion Specifications are currently in development or already released. In this paper the current approaches to generate an OPC UA information model or an OPC UA Companion Specification are analyzed. A new modeling tooling based on the Eclipse Modeling Framework (EMF) is presented. This tooling demonstrates the potential of a model-driven approach for the creation of the information model and the structured part of the descriptive text document of a Companion Specification.",,978-1-7281-5297-4,10.1109/WFCS47810.2020.9114448,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9114448,OPC UA;OPC UA Companion Specification;M2M;model-driven development;Eclipse Modeling Framework;Industry 4.0,Transport protocols;Machine-to-machine communications;Analytical models;Conferences;Production facilities;Data models;Fourth Industrial Revolution,electronic data interchange;formal specification;open systems;software architecture;transport protocols,eclipse modeling framework;open platform communications unified architecture;machine-to-machine communication;information modeling;generalized world model;domain-specific models;companion specifications;information model;modeling tooling;model-driven approach;OPC UA Companion Specification;data transport protocols,,2,,22,IEEE,11 Jun 2020,,,IEEE,IEEE Conferences,,,
Overview of OPC UA TSN,H. Yuan; H. Hao; M. Zhang,"Shandong Computer Science Center (National Supercomputer Center in Jinan), Shandong Provincial Key Laboratory of Computer Networks, Qilu University of Technology (Shandong Academy of Sciences), Jinan, Shandong, P. R. China; Shandong Computer Science Center (National Supercomputer Center in Jinan), Shandong Provincial Key Laboratory of Computer Networks, Qilu University of Technology (Shandong Academy of Sciences), Jinan, Shandong, P. R. China; Shandong Computer Science Center (National Supercomputer Center in Jinan), Shandong Provincial Key Laboratory of Computer Networks, Qilu University of Technology (Shandong Academy of Sciences), Jinan, Shandong, P. R. China","2021 IEEE 5th Information Technology,Networking,Electronic and Automation Control Conference (ITNEC)",4 Nov 2021,2021,5,,715,718,"Ethernet has become a very extensive communication protocol standard for the intercommunication and connection of enterprises, homes and even data center networks. However, with the rapid development of network technology and the expansion of vertical industry applications, at the data transmission level, there will be higher requirements for the certainty, real-time, and reliability of network transmission. The traditional Ethernet channel access method is based on competition, and cannot meet the real-time requirements of various industries. The OPC UA TSN combination emerges spontaneously. The communication network provided by this combination is not only highly deterministic and real-time, but more importantly, it realizes the true independence of the communication network from equipment manufacturers, in terms of network security, bandwidth, interoperability, synchronization, and delay. It has brought huge improvements. It has to be said that the OPC UA TSN combination is the best partner for establishing a comprehensive network between the sensor and the cloud.",2693-3128,978-1-6654-1599-6,10.1109/ITNEC52019.2021.9586911,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9586911,TSN;OPC UA;OPC UA TSN;low latency;high reliability;real-time,Cloud computing;Protocols;Computational modeling;Ethernet;Real-time systems;Reliability;Communication networks,computer centres;local area networks;open systems;protocols,network security;OPC UA TSN combination;comprehensive network;extensive communication protocol standard;intercommunication;data center networks;network technology;vertical industry applications;data transmission level;network transmission;traditional Ethernet channel access method;real-time requirements;communication network,,1,,8,IEEE,4 Nov 2021,,,IEEE,IEEE Conferences,,,
OPC UA server on Raspberry Pi and Arduino for didactic use,F. Rivera-Velazquez; E. Salazar-Valle; G. M. Mart&#x00ED;nez-&#x00C1;guilar,"Dep. Mecatrónica, Universidad Tecnol&#x00F3;gica de Torre&#x00F3;n, Ejido el &#x00C1;guila, 27400 Torreón, Coahuila M&#x00E9;xico; Dep. Mecatrónica, Universidad Tecnol&#x00F3;gica de Torre&#x00F3;n, Ejido el &#x00C1;guila, 27400 Torreón, Coahuila M&#x00E9;xico; Dep. Mecatrónica, Universidad Tecnol&#x00F3;gica de Torre&#x00F3;n, Ejido el &#x00C1;guila, 27400 Torreón, Coahuila M&#x00E9;xico",2021 10th International Conference On Software Process Improvement (CIMPS),23 Dec 2021,2021,,,115,124,"In the market there are different alternatives in communication protocols, but most of them turn out to be specific to technology providers, thus making the implementation of the OPC UA protocol mean the possibility of eliminating proprietary barriers and making production processes more efficient. That is why in this work a didactic and affordable OPC UA system mounted on a Raspberry Pi is proposed that allows the writing and reading of data for the control of the ranges and operating states of actuators and sensors, thus allowing to introduce young university students to what is an environment of Industry 4.0 and the Internet of Things (IoT) so that in their professional future they achieve a rapid adaptation to the productive sector.",,978-1-7281-9515-5,10.1109/CIMPS54606.2021.9652694,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9652694,OPC UA;Raspberry Pi;Arduino;UA Expert,Actuators;Protocols;Production;Writing;Software;Sensor systems;Sensors,factory automation;Internet of Things;microprocessor chips;production engineering computing;protocols;service-oriented architecture,OPC UA server;Raspberry Pi;Arduino;communication protocols;technology providers;OPC UA protocol;proprietary barriers;production processes;actuators;sensors;young university students;OPC UA system;Internet of Things;IoT,,,,0,IEEE,23 Dec 2021,,,IEEE,IEEE Conferences,,,
An Introduction to OPC UA TSN for Industrial Communication Systems,D. Bruckner; M. -P. Stănică; R. Blair; S. Schriegel; S. Kehrer; M. Seewald; T. Sauter,"Department of System Software, B&R Industrial Automation GmbH, Eggelsberg, Austria; Department of Drives Products, ABB Automation Products GmbH, Ladenburg, Germany; Department of Industry Business, Schneider Electric, Andover, MA, USA; Department of Digital Infrastructure, Fraunhofer IOSB-INA, Lemgo, Germany; CTO Office, Hirschmann Automation and Control GmbH, Neckartenzlingen, Germany; Department of CTO Innovation Labs, Cisco, Garching, Germany; Institute of Computer Technology, Technische Universität Wien, Vienna, Austria",Proceedings of the IEEE,30 May 2019,2019,107,6,1121,1131,"The industrial communication market is dominated by Ethernet-based fieldbus systems. Although they share similar requirements and market segments, their implementations and ecosystems differ considerably. As a result, end customers and device manufacturers are faced with a multitude of technologies that need to be produced, run, diagnosed, maintained, and kept in stock. Although the availability of products and services is largely satisfactory, dealing with multiple solutions generates high costs and limits IoT capability. This paper introduces Open Platform Communication Unified Architecture Time-Sensitive Networking (OPC UA TSN) as a new technology and presents the current view. This time, the industrial prospects of fulfilling industrial communication requirements while leveraging the cost benefits of standard Ethernet hardware in the midterm are in reach. We anticipate that OPC UA TSN will reveal itself as a game changer in the field of industrial automation, being a candidate for establishing a holistic communication infrastructure from the sensor to the cloud.",1558-2256,,10.1109/JPROC.2018.2888703,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8610105,Converged network;industrial automation;industrial communication;industrial Ethernet;Industrial Internet of Things (IIoT);Open Platform Communication Unified Architecture (OPC UA);real time;Time-Sensitive Networking (TSN),Manufacturing automation;Ethernet;Industrial communication;Real-time systems;Internet of Things;IEEE Standards,control engineering computing;factory automation;field buses;Internet of Things;local area networks,device manufacturers;Open Platform Communication Unified Architecture Time-Sensitive;OPC UA TSN;industrial prospects;industrial communication requirements;cost benefits;standard Ethernet hardware;industrial automation;holistic communication infrastructure;industrial communication market;Ethernet-based fieldbus systems;market segments;ecosystems;end customers;industrial communication systems,,108,,34,IEEE,11 Jan 2019,,,IEEE,IEEE Journals,,,
