"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Specifics of Building a Cross-Platform OPC UA Server for a CNC System","G. Martinov; A. Zakharov","Department of Computer-Architecture Control Systems, Moscow State University of Technology ""STANKIN"", Moscow, Russia; Department of Computer-Architecture Control Systems, Moscow State University of Technology ""STANKIN"", Moscow, Russia","2023 International Conference on Industrial Engineering, Applications and Manufacturing (ICIEAM)","5 Jun 2023","2023","","","702","707","There is a justified need for a cross-platform implementation of an OPC UA server for a CNC system. The available open-source libraries that implement the OPC UA stack have been analyzed, and a solution based on open62541 has been selected. An architectural model for the interaction between the OPC UA server and the CNC system core has been proposed. In addition to the traditional mechanism for obtaining current data values from the CNC system core, the OPC UA server implements a mechanism for working with historical data and a mechanism for controlling the CNC system by sending commands through a control channel via a callback method. Class diagrams illustrating the implementation of these mechanisms have been provided. An OPC UA client has been developed in C# programming language for testing the cross-platform OPC UA server of the CNC system.","","978-1-6654-7595-2","10.1109/ICIEAM57311.2023.10139086","Ministry of Science and Higher Education of the Russian Federation; Ministry of Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10139086","CNC system;OPC UA client/server;CNC kernel;historical data","Computer languages;Operating systems;Linux;Control systems;Libraries;Windows;Servers","","2","","22","IEEE","5 Jun 2023","","","IEEE","IEEE Conferences"
"A Domain-Driven Design Oriented OPC UA Server Development Methodology for CPPS","M. Majumder; A. Zoitl","LIT CPS Lab, Johannes Kepler University Linz, Linz, Austria; CDL VaSiCS, LIT CPS Lab, Johannes Kepler University Linz, Linz, Austria",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","8","Software has become an integral part of production automation systems and it is going to play a key role in the realization of Cyber-Physical Production Systems (CPPSs), a software-defined futuristic smart production environment. However, the emergence of CPPS has led to the development of a new genre of software tools that aims to bridge the gap between the machine world and the software domain. Examples of such tools are Open Platform Communication Unified Architecture (OPC UA) based software applications that are seen as potential enablers for CPPS. Building OPC UA server applications for CPPS could pose multiple challenges which could be addressed using established software development approaches. In this paper, we investigated the well-known Domain-Driven Design (DDD) based software development concept and its applicability regarding the development of an OPC UA server application for CPPS.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275496","CPPS;Domain-driven design;Information Model;Layered Architecture;OPC UA","Production systems;Software architecture;Architecture;Buildings;Computer architecture;Aging;Software","","1","","32","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"Smart Energy Town: Constructing OPC UA-Based Network Architecture","C. Lee; Y. I. Lee","Department of Electrical Engineering, The Seoul National University of Science and Technology University, Seoul, Korea; Department of Electrical Engineering, The Seoul National University of Science and Technology University, Seoul, Korea","2023 23rd International Conference on Control, Automation and Systems (ICCAS)","20 Nov 2023","2023","","","1105","1107","This paper focuses on the integration of Open Platform Communication Unified Architecture (OPC UA) technology in the context of smart energy towns. With the increasing importance of carbon neutrality, efforts are being made to replace power generation with carbon reduction technologies based on renewable energy. However, challenges arise in terms of system integration and interoperability in smart energy towns, which require the coordination of diverse energy sources and ensuring network stability and security. By applying OPC UA, this paper aims to efficiently manage heterogeneous systems, and enable system expansion and emergency response. The paper presents the architecture of a smart energy town, discusses network establishment, implementation of OPC UA-based semantic energy devices, and provides a case study of a SCADA system. This paper contributes to the effective management and integration of distributed energy assets in smart energy towns.","2642-3901","978-89-93215-27-4","10.23919/ICCAS59377.2023.10316871","National Research Foundation of Korea (NRF); Ministry of Trade, Industry and Energy (MOTIE); Korea Institute for Advancement of Technology (KIAT)(grant numbers:NRF-2019R1A6A1A03032119,P0017189); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316871","IIoT;Industrial 4.0;OPC UA;Interoperability;Semantic Energy Device;Energy Information Model","Renewable energy sources;Semantics;SCADA systems;System integration;Network architecture;Stability analysis;Security","","","","4","","20 Nov 2023","","","IEEE","IEEE Conferences"
"Seamless Integration of Legacy Industrial Systems with OPC UA for Enhanced Digital Transformation","S. R; G. V S; I. R; D. K; B. N; V. A","Department of Instrumentation & Control Engineering, Sri Sairam Engineering College, Chennai, India; Department of Instrumentation & Control Engineering, Sri Sairam Engineering College, Chennai, India; Department of Instrumentation & Control Engineering, Sri Sairam Engineering College, Chennai, India; Department of Electronics & Communication Engineering, Sri Sairam Engineering College, Chennai, India; Department of Instrumentation & Control Engineering, Sri Sairam Engineering College, Chennai, India; Department of Instrumentation & Control Engineering, Sri Sairam Engineering College, Chennai, India","2024 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)","12 Dec 2024","2024","","","1","6","The integration of legacy systems with modern control technologies is a significant challenge in the digital transformation of industrial environments. Many facilities still rely on outdated equipment that lacks compatibility with contemporary communication standards like OPC UA (Open Platform Communications Unified Architecture). This paper proposes a comprehensive solution to bridge this gap by developing OPC UA wrappers and adapters that facilitate communication between legacy systems and modern control infrastructures. The approach involves translating data from various legacy protocols into the OPC UA format, enabling seamless data exchange and interoperability. A central OPC UA server is implemented to aggregate and normalize data, providing a unified and secure platform for real-time monitoring and control. The proposed solution was evaluated in a simulated industrial environment, demonstrating effective data integration, enhanced performance, robust security, and high operator satisfaction. The results validate the feasibility of using OPC UA to integrate legacy systems, supporting digital transformation and fostering a more connected industrial ecosystem.","","979-8-3315-0884-5","10.1109/ICPECTS62210.2024.10780333","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780333","OPC UA;Legacy Systems;Digital Transformation;Industrial Automation;Data Integration;Interoperability;Real-Time Monitoring","Protocols;Digital transformation;Ecosystems;Aging;Control systems;Real-time systems;Servers;Security;Monitoring;Interoperability","","","","14","IEEE","12 Dec 2024","","","IEEE","IEEE Conferences"
"Design and Implementation of Control System for Deep-Sea Dry Recovery Unit Based on OPC UA","M. Yang; J. Zhang; Y. Lei; G. Sheng","China Ship Scientific Research Center, Wuxi, China; China Ship Scientific Research Center, Wuxi, China; China Ship Scientific Research Center, Wuxi, China; China Ship Scientific Research Center, Wuxi, China",2023 IEEE 11th Joint International Information Technology and Artificial Intelligence Conference (ITAIC),"1 Feb 2024","2023","11","","905","909","This paper designs and develops a control system based on the OPC UA for the requirements of the deep-sea dry recovery unit. In terms of hardware, the idea of decentralized collection and centralized control is adopted, with multiple IO modules arranged to collect device data. On the software side, establish the OPC UA information model and server to store the status data uploaded by the IO module, and send user instructions to the IO modules to generate a control signal output to devices. The user interface development was completed using QML language, based on the OPC UA client. Finally, the system functionality was verified through prototype testing.","2693-2865","979-8-3503-3366-4","10.1109/ITAIC58329.2023.10408815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10408815","dry-wet conversion;OPC UA;control system;marine engineering;communication interface","Computer architecture;User interfaces;Reliability engineering;Stability analysis;Software;Servers;Testing","","","","5","IEEE","1 Feb 2024","","","IEEE","IEEE Conferences"
"OPC UA over TSN (Time Sensitive Network) for Vertical and Machine to Machine Communication","A. Moshiri; A. M. A. Hemmatyar","Faculty of Computer Engineering, Intl. Campus (SUTIC), Sharif University of Technology,, Kish, Iran; Department of Computer Engineering Sharif, University of Technology (SUT), Tehran, Iran","2023 9th International Conference on Control, Instrumentation and Automation (ICCIA)","26 Apr 2024","2023","","","1","6","This report introduces OPC UA (Open Platform Communication- Unified Architecture) over TSN (Time Sensitive Network), a transformative technology for Industry 4.0. Combining OPC UA's vendor-independent and secure data exchange capabilities with the precision and determinism of TSN, OPC UA TSN is poised to revolutionize industrial communication. It enables horizontal and vertical data exchange in smart factories, offering a robust solution for control-level communication. The report discusses its architectural foundations, key technologies, and practical implementations. By seamlessly integrating with existing industrial systems, OPC UA over TSN is set to meet the evolving requirements of Industry 4.0. Its potential for reducing latency and enhancing performance makes it a promising solution for the future of smart manufacturing.","","979-8-3503-6601-3","10.1109/ICCIA61416.2023.10506350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10506350","OPC UA;Time Sensitive Network;Horizontal and Vertical Data Exchange;Control-Level Communication;Industry 4.0","Protocols;Instruments;Layout;Industrial communication;Fourth Industrial Revolution;System-on-chip;Security","","1","","7","IEEE","26 Apr 2024","","","IEEE","IEEE Conferences"
"A Survey on OPC UA Protocol: Overview, Challenges and Opportunities","J. T. Da Silva; A. L. Dias; I. N. Da Silva","University of São Paulo, São Carlos, Brazil; Federal Institute of Education, Science and Technology of São Paulo, Sertãozinho, Brazil; University of São Paulo, São Carlos, Brazil",2023 15th IEEE International Conference on Industry Applications (INDUSCON),"2 Jan 2024","2023","","","1523","1530","Industrial communication plays a crucial role in modern automation by enabling control, monitoring, quality assessment, maintenance, and integration of management systems in production and manufacturing processes. OPC UA has emerged as one of the most widely utilized protocols in recent years, as evidenced by its growing number of applications, and is considered to be one of the most promising protocols for the future. Given its significance, this work aims to provide an overview that characterizes the current state of the protocol. To accomplish this, a systematic review of 238 relevant studies was conducted to extract relevant data. The results obtained provide an up-to-date overview of the field, as well as identify several potential research directions, challenges, and opportunities for further research on OPC UA.","2572-1445","979-8-3503-1418-2","10.1109/INDUSCON58041.2023.10375053","University of Sao Paulo; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10375053","Survey;OPC UA;Industrial Internet of Things;Internet of Things","Surveys;Protocols;Systematics;Wireless networks;System performance;Reliability engineering;Security","","7","","80","IEEE","2 Jan 2024","","","IEEE","IEEE Conferences"
"OPC UA Implementation for Industrial Automation - Part 1: Evaluating the Performance of PubSub Model","G. P. Reddy; Y. V. P. Kumar; Y. J. Reddy; S. R. Maddireddy; S. Prabhudesai; S. Deo","School of Electronics Engineering, VIT-AP University, Amaravati, Andhra Pradesh, INDIA; School of Electronics Engineering, VIT-AP University, Amaravati, Andhra Pradesh, INDIA; Instrumentation and Control Air Company Holdings Inc., Brooklyn, New York, USA; CDB-IoT Unit, Cognizant Technology Solutions, Hyderabad, Telangana, INDIA; CDB-IoT Unit, Cognizant Technology Solutions, Hyderabad, Telangana, INDIA; CDB-IoT Unit, Cognizant Technology Solutions, Hyderabad, Telangana, INDIA","2023 1st International Conference on Circuits, Power and Intelligent Systems (CCPIS)","27 Oct 2023","2023","","","1","6","OPC UA (Open Platform Communications Unified Architecture) is emerging as the leading technology for facilitating machine-to-machine (M2M) and machine-to-cloud (M2C) communications in the field of industrial automation. It provides a unified protocol that enables seamless data transfer from sensors to the cloud, making it a widely adopted standard. With the introduction of Part 14: Publisher and Subscriber (PubSub) to the OPC specification, M2M communication with a shared information model becomes possible, offering scalability and efficiency in data exchange between machines. In this view, this paper aims to evaluate the applicability of the newly introduced PubSub model for industrial communications. Specifically, this research focuses on analyzing the performance of the OPC UA stack using two different operating systems: Embedded Linux (open source) and VxWorks (proprietary RTOS). The performance metric utilized is the Round-trip time (RTT), which measures the time required for data to complete one closed loop. The experimental results show that OPC UA PubSub exhibits robust performance, indicating its suitability for real-time industrial use cases.","","979-8-3503-1576-9","10.1109/CCPIS59145.2023.10291862","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10291862","Industrial Automation;Machine-to-Machine (M2M) Communications;OPC UA (Open Platform Communications Unified Architecture);PubSub;Round-trip time (RTT)","Machine-to-machine communications;Automation;Protocols;Operating systems;Scalability;Real-time systems;Time measurement","","1","","24","IEEE","27 Oct 2023","","","IEEE","IEEE Conferences"
"Broker-Less OPC UA PubSub Communication Model Performance Analysis","A. Homay; C. Chrysoulas; T. Watt; M. Wollschlaege; M. de Sousa; L. Maglaras","Faculty of Computer Science, Technische Universität Dresden, Dresden, Germany; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; Faculty of Computer Science, Technische Universität Dresden, Dresden, Germany; Faculty of Engineering, University of Porto, Porto, Portugal; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom",2024 IEEE 30th International Conference on Telecommunications (ICT),"30 Jul 2024","2024","","","1","5","The advent of Industrial Internet of Things (IIoT) has accelerated the adoption of OPC UA (Object Linking and Embedding for Process Control Unified Architecture) PubSub communication models, enabling efficient data exchange in industrial automation systems. This study delves into the performance analysis of a broker-less OPC UA PubSub communication model, a paradigm gaining prominence for its potential to streamline communication in distributed systems. Our methodology involves the establishment of a representative test environment, configuration of OPC UA PubSub components without an intermediary broker, and the design of diverse test scenarios. The results of this performance analysis not only reveal the inherent capabilities of the broker-less OPC UA PubSub communication model but also identify potential bottlenecks and areas for optimization. This research advances our understanding of broker-less OPC UA PubSub communication models, offering empirical evidence of their performance in diverse scenarios.","2993-1916","979-8-3503-5669-4","10.1109/ICT62760.2024.10606025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10606025","IIoT;OPC-UA;PubSub Communication model;Trip Time","Analytical models;Protocols;Data models;Time measurement;Real-time systems;Performance analysis;Telecommunications","","","","14","IEEE","30 Jul 2024","","","IEEE","IEEE Conferences"
"Design and Implementation of an OPC UA-Based Cloud System for the Management of Distributed Microgrid Networks","C. Lee; J. Im; H. -Y. Kwon; Y. I. Lee","Department of Electrical Engineering, Seoul National University of Science and Technology University, Seoul, Korea; Department of Data Science, Seoul National University of Science and Technology University, Seoul, Korea; Department of Data Science, Seoul National University of Science and Technology University, Seoul, Korea; Department of Electrical Engineering, Seoul National University of Science and Technology University, Seoul, Korea","2023 23rd International Conference on Control, Automation and Systems (ICCAS)","20 Nov 2023","2023","","","312","316","This paper presents an Open Platform Communications Unified Architecture (OPC UA)-based cloud system designed for managing distributed microgrid networks. The paper proposes a three-layer model specifically tailored to manage microgrids within cloud environments and defines an appropriate level of the information model for each layer. Moreover, the use of the JSON format for transmitting the OPC UA information model within the cloud environment is emphasized. A detailed diagram, tailored for a testbed at SeoulTech University, is illustrated to showcase the system's potential application in the context of distributed microgrids. This diagram is intended for future application to the testbed, demonstrating its practical utility in managing distributed microgrids. The discussion also encompasses the communication protocols necessary for each layer, offering a comprehensive understanding of the operational requirements of the proposed cloud system.","2642-3901","978-89-93215-27-4","10.23919/ICCAS59377.2023.10316840","National Research Foundation of Korea (NRF); Korea Institute for Advancement of Technology (KIAT)(grant numbers:NRF-2019R1A6A1A03032119,P0017189); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316840","Microgrid;Industrial 4.0;OPC UA;Interoperability;Semantic Energy Device;Energy Information Model;Cloud System","Protocols;Data handling;Microgrids;Data transfer;Control systems;Real-time systems;Security","","2","","10","","20 Nov 2023","","","IEEE","IEEE Conferences"
