,Document Title,Abstract
5,"Concurrent OPC UA information model access, enabling real-time OPC UA PubSub","Ongoing changes in industrial automation aim to-wards a flat and highly interconnected architecture that includes end-to-end real-time enabled machine-to-machine communications. Several technologies, such as OPC Unified Architecture (OPC UA) publish-subscribe and time-sensitive networking (TSN), facilitate that change. While OPC UA PubSub and TSN can already provide real-time capabilities, the parallel operation with standard OPC UA client-server remains an open challenge. This article presents preliminary results for solving concurrent information model access between OPC UA PubSub and client-server. The results include the overall RT-TSN-OPC UA concept, an analysis of common concurrent data access mechanisms for their suitability, and identifying critical code segments in the open62541 OPC UA stack. The paper concludes by outlining further research focusing on implementing and evaluating a wait-and obstruction-free mechanism into open62541."
15,A CoAP-based OPC UA Transmission Scheme for Resource-Constrained Devices,"The Industrial Internet continuously covers all aspects of smart manufacturing. As an enabling technology for Industrial Internet, OPC UA protocol realizes the information modeling and unified description of industry devices. Furthermore, OPC UA supports data access through Web services based on HTTP. However, the high resource cost of HTTP for resource-constrained devices is hard to afford. The CoAP protocol is specially designed for resource-constrained devices, and it has better suitability in the IoT environment than HTTP. Therefore, an efficient and lightweight transmission scheme, which is applied to realize the transfer of OPC UA messages over the CoAP protocol, is proposed in this paper. Experimental results demonstrate that the proposed scheme realizes the effective transmission of resource-constrained device data through the Web service interface via OPC UA."
21,Extended gateway model for OPC UA/IoT device integration,"In the paper, we share our research results and experiences with the industrial integration of IoT devices and OPC UA systems, assuming it is one of major enablers for Industry 4.0 use-cases. The main focus is paid on the numerical model of integration gateway, which could enable integration of various IoT devices, embedded and constrained systems, where implementation of full-scale OPC UA protocol is not possible. The goal is to create the appropriate model for OPC UA/IoT device integrations, verify and test it with implemented integration gateway. The gateway implementation scope and testing was concentrated on OPC DA and two major IoT protocols: MQTT and COAP."
26,Development of OPC UA based centralized server Fieldbus data high efficiency transmit architecture,"In last few years industrial communication system is one of the most important innovations in factory and process automation systems. Many applications of industrial control are changing as communication technology advances, this also brings new opportunities and challenges to fieldbus system. In this paper, we proposed one new fieldbus data transmit architecture. The proposed architecture includes one OPC UA (OPC Unified Architecture) based centralized server, it used to replace the traditional fieldbus direct connection between fieldbus master station and PLC. The high capacity and high-speed characteristics of OPC UA structure are utilized to realize efficient and high timeliness fieldbus data transmission. Under this architecture, we propose a concept of data converter, it used to provide high compatibility with old and new fieldbus devices to reduce the cost of automation system upgrading. Proposed architecture has obvious advantages in multi PLC joint work environment."
28,Construction of Industrial Internet of Things Based on MQTT and OPC UA Protocols,"At present, the Internet of Things has become a hot area of global concern and is considered to be another major scientific and technological innovation after the Internet. The Internet of Things can be analyzed from two aspects, one is to access the Internet, and the other is the connection between things. The Industrial Internet of Things, as a new type of industrial ecosystem, collects resources and data during the industrial production process by using miniature low-cost controllers and high-bandwidth wireless networks to achieve flexible configuration of manufacturing raw materials and improve resource utilization. The Industrial Internet of Things not only includes traditional software elements, but also requires hardware controllers and sensors, as well as cloud service platforms, to ultimately achieve intelligent manufacturing. The Industrial Internet of Things based on MQTT adopts the method of upper computer (WeChat applet) + server (Alibaba Cloud Server) + lower computer (WiFi module ESP8266 NodeMcu) to realize data collection and control of industrial production process. Based on OPC UA protocol, The Industrial Internet of Things, by designing an intelligent node device based on embedded Linux system, uses Qt to build the OPC UA protocol. OPC UA is a C / S architecture real-time database framework. By building an OPC UA Client on a handheld terminal device, An OPC UA Serve is set up on the smart terminal device, and the information collected by the handheld terminal is sent to the smart terminal. At the same time, multiple smart terminals are connected through the OPC UA protocol to perform data interaction and information transfer. At the same time, an edge computing algorithm is embedded in the smart terminal, and a large amount of data collected is processed for analysis, screening, and calculation. At the same time, the processed information is transmitted or processed. Reduce data interactions between data sources and data centers, and reduce the amount of information transmitted and stored."
48,An industrial feedback on the use of OPC UA for the vertical integration of semiconductor front-ends,"As manufacturing, in general, is adopting Industry 4.0, OPC UA is gaining traction to become the de facto architecture for overcoming the issues of interoperability. Even though semiconductor equipment manufacturers need to comply with the existing and now mature SEMI11SEMI is a semiconductor association that defines standards. All SEMI standards referenced in this article are accessible at https://www.semi.org standards, it is worthwhile to explore the possibilities of harmonizing them with other automation standards. Following the same motivation, OPC Foundation has developed standardized companion specifications for different other standards like ISA-95, PROFINET, IO-Link, etc. In the absence of a companion specification for semiconductor industry, this work compares the architectural choices for the development of an information model for semiconductor industry. We share the lessons learned from our endeavors in implementing OPC UA information models for semiconductor domain."
58,Performance Comparison Between OPC UA and MQTT for Data Exchange,"With the new concepts brought by the Industry 4.0 and the Internet of Things (IoT), it is expected more equipment communicating with each other, using local and cloud computing servers. In order to the communication between the devices be efficient, fast and with time deterministic, it is necessary to choose a suitable network protocol. In this context, the article presents the performance comparison of quantity of used data and time spent to send and receive messages in two well-known protocols in the field of IoT and Industrial loT (IIoT): MQTT and OPC UA. The obtained values show the advantages of using each protocol in several scenarios, in order to exploit the best data exchange between devices."
59,Design and Implementation of OPC UA Server Based on SECS/GEM Protocol,"In order to solve the problem of incompatibility of communication data between semiconductor manufacturing industry and other automation industries, a design scheme of OPC UA server development based on SEMI Equipment Communications Standard/Generic Model for Communications (SECS/GEM) was proposed. The design idea and workflow of the whole system are described in detail. After testing, the server has completed real-time communication with the third-party SECS/GEM equipment simulation software and UA client, and solved the problem that the data message in the communication process of semiconductor equipment is not compatible with OPC UA specification."
60,Real-time Industrial Communication by using OPC UA Field Level Communication,"Real-time behaviour is one of the most important aspects of field level automation networks in factory communication. Various Real-Time Ethernet (RTE) technologies have been developed over the years to cope with the network requirements like latency, Quality-of-Service (QoS), reliability etc. of the field level networks. Because of their nature of vendor-dependency, these technologies have been incompatible with one another. In the era of Industry 4.0, an innovative approach is required to bring together this technology in order to solve the interoperability issue. Open Platform Communication Unified Architecture (OPC UA) is a vendor-neutral communication protocol which can be an answer to this incompatibility problem of field level factory networks. This paper aims to use OPC UA as a field level communication protocol in combination with the Time-sensitive networking (TSN) standards to simulate the real-time behaviour of field network."
75,Towards an OPC UA Compliant Programming Approach with Formal Model of Computation for Dynamic Reconfigurable Automation Systems,"This paper proposes Service Oriented SystemJ - OPC UA (SOSJ - OPC UA), a service-oriented programming approach which targets dynamic industrial manufacturing systems. An extension of SOSJ, SOSJ - OPC UA utilizes OPC UA standard to introduce service orientation, enable interoperability with different actors in the systems, and compliance with Reference Architecture Model for Industrie 4.0 (RAMI 4.0) which defines OPC UA as the communication standard. The paper begins by describing new concept on the synergy of SOSJ and OPC UA. Then, SOA information exchange mechanisms which utilize OPC UA are defined that enable parties to find each other. SOSJ - OPC UA is then demonstrated in a simple manufacturing example to demonstrate its capability."
