,Document Title,Abstract
9,Honeypot Inside an OPC UA Wrapper for Water Pumping Stations,"The honeypot technologies provided several research themes in the past years, primarily for detection and information gathering against external threats. The water infrastructure and generally automation/SCADA systems may be vulnerable to attacks. In case of critical infrastructures, the protection is necessary because an eventual successful attack can cause major damages. The paper presents a solution for protecting water pumping stations from threats using a honeypot inside an OPC UA wrapping structure. As known, Industry 4.0 and Industrial Internet of Things concepts are moving the industry towards interoperability and interoperation. OPC UA is the defined and widely accepted interfacing solution. The transition to OPC UA for both new and legacy systems can be realized through wrappers, such middleware protocol conversion and data wrapping structures are studied and developed. The proposed honeypot is conceived for Node-RED based applications being able to access Modbus, S7, OPC UA local structures and exposing tags in OPC UA server. The implemented structure was tested proving satisfactory results."
30,Secure Onboarding of IIoT Devices using OPC UA,"In todayâ€™s Industrial Internet of Things (IIoT), a broad range of communication protocols are utilized. Built-in security mechanisms enable these protocols to protect communication and defend against network attacks. However, before IIoT devices can utilize these security mechanisms, they need to be securely onboarded in the network. Although several onboarding solutions exist, there is no widely applicable and easy solution for all protocols. Thus, owners of IIoT devices must currently perform multiple processes until they can securely use a device in operation, which requires a high amount of manual effort and onboarding infrastructure.In this work, we present a generic secure onboarding solution for a broad range of network protocols based on OPC UA. OPC UA is particularly suited for this task, as it is one of the most widespread IIoT protocols and one of few protocols whose standard defines a secure onboarding. Our solution leverages the OPC UA onboarding process to equip other IIoT protocols with the initial trust and credentials to establish secure connections. To this end, only minor extensions to the OPC UA implementation on devices are necessary, such that device owners can reuse their OPC UA onboarding infrastructure without any modifications. As a proof of concept for our solution, we demonstrate the secure onboarding of an HTTPS web server. Our implementation fully reuses the reference implementation OPC UA sample server as infrastructure and only needs minor extensions to the IIoT device."
32,Experimental Implementation of Remote Attestation over OPC UA Protocol,"We present design alternatives and a proof-of-concept demonstration realising the inclusion of remote attestation into Open Platform Communication - Unified Architecture (OPC UA), a modern Operational Technology (OT) protocol. This aspect is not yet covered by the OPC UA set of specifications. Remote attestation is about ascertaining the integrity of the software and the configuration of the attested devices, and is considered to be essential for safeguarding critical infrastructure. Remote attestation and OPC UA concepts are briefly summarized. We discuss alternatives for realising remote attestation over OPC UA, and, based on their relative merits, select one for experimentation. Related work is also discussed. Python-based proof-of-concept implementation was realised and experimented with for unearthing relevant issues that need to be resolved for actual OPC UA remote attestation. The findings are presented and the demonstrator is available as open source software as an example how to implement remote attestation over OPC UA protocol."
38,Open-Source OPC UA Security and Scalability,"OPC UA is widely adopted for remote-control in industrial environments. It has a central role for industrial control systems as it enables remote management. Compromising OPC UA can lead to compromising entire production facilities. Consequently, OPC UA requires a high level of security. Major commercial OPC UA implementations have compliance certificates ensuring that their security models obey the specification. However, open-source OPC UA implementations that have wide deployment mostly lack these certificates. In this work, we investigate the security models of the four most commonly used open-source implementations: open62541, node-opcua, UA-.NETStandard, and python-opcua. Furthermore, their scalabilities for the number of clients and OPC UA nodes are also analyzed."
47,Research on OPC UA Security Encryption Method,"With the continuous development of the internet, the existing risk coefficient in it is also rising. The original defense system has been unable to effectively resist the current risk. Illegal network monitoring, network intrusion attack, theft, tampering, network terrorism and other illegal criminal activities are flooding the whole network space in different degrees, which may bring security threats and economic losses to enterprises and individuals at any time. And with the development of industrial informatization, the data in the process of industrial production needs to be shared or users can see the production data at any time, so the security of data in the transmission process becomes a problem. At present, the OPC UA protocol is used by the devices in the factory when they interact with each other. This paper mainly studies the security status and communication efficiency of OPC UA. The communication efficiency here is mainly the encryption efficiency of the encryption algorithm, which improves the communication efficiency by improving the encryption efficiency."
86,Reasoning on Adopting OPC UA for an IoT-Enhanced Smart Energy System from a Security Perspective,"Smart Services using Industrial Internet of Things (IIoT) applications are on the rise, but still more often than not, traditional industrial protocols are used to interconnect the entities of the resulting systems. These protocols are mostly not intended for functioning in such a highly interconnected environment and, therefore, often lack even the most fundamental security measures. To address this issue, this paper reasons on the security of a communications protocol, intended for Machine to machine (M2M) communications, namely the Open Platform Communications Unified Architecture (OPC UA) and exemplifies, on a smart energy system, its capability to serve as a secure communications architecture by either itself or in conjunction with traditional protocols."
103,Open Source OPC UA Data Traffic Characteristic and Anomaly Detection using Image-Encoding based Convolutional Neural Network,"The development of OT and IT technology and industrial growth requires the design of automation systems that can accommodate scalability and interoperability between devices. OPC UA is a communication protocol that bridges data exchange between devices using different communication platforms and protocols. OPC UA can also connect devices between levels in automation pyramids. As an open platform, open-source OPC UAs such as open62541, OpenOPCUA, and FreeOpcUa is currently being developed by several developer communities. Implementing open-source OPC UA is an attractive option if cost is a significant consideration. However, the primary purpose of implementing OPC UA is to communicate or exchange information effectively and reliably; information about the characteristics and performance of open-source OPC is needed before designing a particular open-source OPC-based automation system platform. This paper utilized FreeOpcUa, a Python OPC UA library, to determine communication traffic features between client and server and perform anomaly detection on the traffic. The results showed that when all clients read server data simultaneously, there was duplication (up to 9%) and loss (up to 5%) of some data packets. Otherwise, the server could read all clientsâ€™ transmitted data. Anomaly detection testing with an image-encoding CNN also showed promising results, with accuracy, precision, recall, and F-score values approaching one."
110,Portable Trust Anchor for OPC UA Using Auto-Configuration,"With increasing connectivity between industrial devices their attack surface grows. Consequently, secure setups have to allow these devices to distinguish trustworthy and untrustworthy communication partners. One of the most significant and wide-spread protocols for Ethernet-based data exchange between industrial devices and controls is the Open Platform Communications Unified Architecture (OPC UA). Although the OPC UA standard includes certificate-based security measures, it lacks of applicable solutions for bootstrapping trust. For secure communication, each OPC UA application is supposed to hold an application certificate which can be managed by a Global Discovery Server (GDS). Simply put, applications request their certificate from the GDS as well as information about trustworthy and revoked certificates of third parties. However, the OPC UA specifications do not suggest a secure method to establish the initial trust for the communication between an application and the GDS. Moreover, in current implementations, the administrator has to manually interchange the certificates between the peers to build sufficient trust relationships. This paper proposes an evaluated portable trust-anchor-based concept to establish this initial trust and demonstrates it solely based on standardized OPC UA communication."
123,PKI and User Access Rights Management for OPC UA based Applications,"The growing need for end-to-end security in distributed communication for industrial automation as emphasized in Industrie 4.0 requires an investigation of the security features of relevant protocols. One of the security requirements is authentication and authorization of users within and across organizational boundaries. OPC UA (Open Platform Communication Unified Architecture) is a service-oriented architecture for platform independent communication in automation industry. This research work is on OPC UA to understand its security architecture's support for end-to-end communication and an implementation of a demo PKI (Public Key Infrastructure) to illustrate the same. The design and implementation of such a PKI facilitates both, offline and online validation services. This work emphasizes different concepts of PKIs used in enabling security in applications based on OPC UA standards. The information modelling provided by OPC UA has options to enable user access rights. The applicability of access level attributes in differentiating access rights between different users is demonstrated. The results of this work illustrate a single level hierarchical trust model for end-to-end communication using X509IdentityToken authentication for a user to access services provided by an OPC UA server. The demonstration of online validation for X.509 certificate using OCSP (Online Certificate Status Protocol) protocol is illustrated. The offline validation using CRL (Certificate Revocation List) is also illustrated. The X.509 certificates required for OPC UA based applications can be generated using a tool called keytool. A open source project of keytool is used to create the OPC UA specific extensions for the certificates. There are several challenges in implementing such an infrastructure for distributed systems and they are described. The scope for further research is discussed briefly."
125,Development of a monitoring system for encrypted data by OPC UA,"Cyber-attacks on critical infrastructure have been on the rise. Therefore, cyber-security has become very important for Industrial Control Systems (ICS). For communication protocol in ICS networks, the Open Platform Communications Unified Architecture (OPC UA) communication protocol, which enables secure and platform-independent communications, is expected to be widely used. Beginning from OPC UA v1.04, which was released in 2021, Pub/Sub mode has been supported in addition to Client/Server. Because it can easily support much more communications than usual, it can support all use cases in the industrial sector. An important property of OPC UA is encryption. It is effective in protecting communication data from tampering and eavesdropping but also makes it impossible to monitor communications. In ICS, ill commands to controllers can cause dangerous situations. Even a secure communication protocol cannot guarantee that the data being communicated are safe. There are many types of machines, such as operating support systems and engineering workstations, that can send commands to controllers. They are implemented in common operating systems and may fall victim to a cyber-attack. Therefore, the commands to controllers should be monitored. We propose a monitoring system for encrypted data by OPC UA."
