,Document Title,Abstract
7,OPC UA server on Raspberry Pi and Arduino for didactic use,"In the market there are different alternatives in communication protocols, but most of them turn out to be specific to technology providers, thus making the implementation of the OPC UA protocol mean the possibility of eliminating proprietary barriers and making production processes more efficient. That is why in this work a didactic and affordable OPC UA system mounted on a Raspberry Pi is proposed that allows the writing and reading of data for the control of the ranges and operating states of actuators and sensors, thus allowing to introduce young university students to what is an environment of Industry 4.0 and the Internet of Things (IoT) so that in their professional future they achieve a rapid adaptation to the productive sector."
8,OPC UA Information Modeling Method and Xml Definition,"Through the different nodes in the address space of OPC UA Server, different OPC UA Clients can get a data set full of information, which includes variables, objects, methods, events and types. Customized data types can also be defined in the set. OPC UA Clients need to access the relevant type definition first, which describes the information structure and the encoding rules of the nodes they want to access. So, it's important to define a vendor specific type for a resource-constrained device server, and try to simplify the Complex data model. This article describes the basic structure of the standard OPC UA Address Space, which nodes are mandatory and which are optional in the UA Server. It proposes the principal of building a vendor UA Server, and introduce the open source tool UA-Model Compiler, which can help vendor to customize the minimal namespace0 contained in the UA Server."
12,Mapping OPC UA AddressSpace to OCF resource model,"The paper presents a proposal to map OPC UA AddressSpace into Open Connectivity Foundation (OCF) Resource Model. The mapping is based on the ad-hoc definition of an OCF Device and OCF Resources, each of which models an OPC UA Node of an OPC UA AddressSpace. The proposal represents a first step to enable interoperability between OPC UA and OCF specifications, allowing an OCF Client to access information maintained by an OPC UA Server. The proposal is original as current literature does not provide for such kind of integration."
12,Mapping OPC UA AddressSpace to OCF resource model,"The paper presents a proposal to map OPC UA AddressSpace into Open Connectivity Foundation (OCF) Resource Model. The mapping is based on the ad-hoc definition of an OCF Device and OCF Resources, each of which models an OPC UA Node of an OPC UA AddressSpace. The proposal represents a first step to enable interoperability between OPC UA and OCF specifications, allowing an OCF Client to access information maintained by an OPC UA Server. The proposal is original as current literature does not provide for such kind of integration."
14,Querying OPC UA information models with SPARQL,"OPC UA is one of the most important communication protocols for IIoT applications in the automation domain. One important requirement for Industry 4.0 scenarios is standardized semantics, which is introduced into OPC UA through Companion Specifications. Nevertheless, OPC UA still lacks a comfortable interface for accessing these huge graphs, especially on the edge- and cloud-layer. Of course, there is a query language specified for OPC UA. However, to the best of our knowledge, there is no publicly available implementation.In this paper, we will present how SPARQL can be used to query OPC UA graphs natively and also will present rules to transform OPC UA queries into SPARQL queries. Furthermore, we will highlight some issues of OPC UA Query and how they can be bypassed by native SPARQL. Finally, we were able to correctly execute all nine example queries of OPC UA Part 4 Annex B (complex examples) with both approaches."
15,A CoAP-based OPC UA Transmission Scheme for Resource-Constrained Devices,"The Industrial Internet continuously covers all aspects of smart manufacturing. As an enabling technology for Industrial Internet, OPC UA protocol realizes the information modeling and unified description of industry devices. Furthermore, OPC UA supports data access through Web services based on HTTP. However, the high resource cost of HTTP for resource-constrained devices is hard to afford. The CoAP protocol is specially designed for resource-constrained devices, and it has better suitability in the IoT environment than HTTP. Therefore, an efficient and lightweight transmission scheme, which is applied to realize the transfer of OPC UA messages over the CoAP protocol, is proposed in this paper. Experimental results demonstrate that the proposed scheme realizes the effective transmission of resource-constrained device data through the Web service interface via OPC UA."
18,VSOMEIP - OPC UA Gateway Solution for the Automotive Industry,"The fourth industrial revolution is relying on interoperability and consequently on the Industrial Internet of Things (IIoT) concept. The industry is constantly researching and developing solutions for vertical and horizontal interoperation of systems, some concepts being already well-grounded. One of the main issues is the interfacing. The industry accepted the OPC Unified Architecture (OPC UA) protocol as of high importance for interoperability in the IIoT context. The automotive industry is considered to have a separate path, because of a somehow more rigid approach towards communication and data integration. But, car-to-infrastructure and even car-to-car communication are requiring data exchange and implicitly a newer approach from the automotive industry. Recently, VSOMEIP (Scalable service Oriented MiddlewarE over IP from Genivi) interfacing is more and more present in automotive, its main focus being to assure interoperation between the Electronic Control Units (ECUs). The current paper proposes a VSOMEIP - OPC UA gateway conceptual solution that assures car interfacing in the IIoT context. The proof of concept is implemented regarding AUTOSAR (Automotive Open System Architecture) requirements, using a tailored operating system on an embedded device. In the first case study, the gateway is tested having all OPC UA and VSOMEIP clients and servers implemented and functioning on the device. The second case study presents the connection to an external OPC UA server. The obtained results are proving the effectiveness of the concept."
21,Extended gateway model for OPC UA/IoT device integration,"In the paper, we share our research results and experiences with the industrial integration of IoT devices and OPC UA systems, assuming it is one of major enablers for Industry 4.0 use-cases. The main focus is paid on the numerical model of integration gateway, which could enable integration of various IoT devices, embedded and constrained systems, where implementation of full-scale OPC UA protocol is not possible. The goal is to create the appropriate model for OPC UA/IoT device integrations, verify and test it with implemented integration gateway. The gateway implementation scope and testing was concentrated on OPC DA and two major IoT protocols: MQTT and COAP."
24,Collecting Data from Variable Kinematic Machine Tools with OPC UA Protocol,"The article deals with the issues of data collection from technological equipment, the kinematics of which change dynamically during the execution of the control program. The structural model is considered and the hierarchical levels of obtaining data from the CNC system using the OPC UA protocol are highlighted on the example of a milling machine. An extension of the information model OPC UA data for the control of machines with dynamic kinematics is proposed. A generalized information model of OPC-UA data has been built with highlighted common and variable components. Implemented a mechanism for obtaining data on the client side when switching the kinematic scheme from using the â€œPublisher-Subscriberâ€ model"
29,Communication interface specification in OPC UA,"Due to its modeling capabilities, platform independence, and extendability, Open Platform Communications Unified Architecture (OPC UA) is considered to be the main candidate for a so-called â€œenabling technology for industry 4.0â€. However, the engineering effort for OPC UA applications, in particular the server, is very high as the process of information modeling and linking the resulting model to real-world data is complex and time-consuming. This significantly limits the spread of OPC UA in manufacturing and other domains.This paper presents an approach towards extending OPC UA in a way such that information necessary for the OPC UA server application to access the underlying system can be specified in the information model. This is achieved by defining communication interfaces for all nodes of the information model that represent readable or writable data. The handling of the interfaces needs to be implemented in code only once and from then on they can be modeled, rather than implemented for each node individually. Thus, the implementation effort of OPC UA servers is reduced. Different modeling approaches for communication interfaces are presented and compared."
31,Research on Key Technologies of OPC UA Standard and Test,"OPC UA has been widely applied in the interconnection and interoperability of industrial Internet and intelligent manufacturing, the standards are the criterion of OPC UA technology, the address space is the basis for realizing OPC UA, the information model is the core feature of OPC UA. The quality of developed products must be ensured after passing the test and certification. The key Technologies of OPC UA which showing in this papers will guide development and application of OPC UA."
