"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Honeypot Inside an OPC UA Wrapper for Water Pumping Stations","C. -A. Petre; A. Korodi","Department of Automation and Applied Informatics, University Politehnica Timisoara, Timisoara, Romania; Department of Automation and Applied Informatics, University Politehnica Timisoara, Timisoara, Romania","2019 22nd International Conference on Control Systems and Computer Science (CSCS)","27 Jun 2019","2019","","","72","77","The honeypot technologies provided several research themes in the past years, primarily for detection and information gathering against external threats. The water infrastructure and generally automation/SCADA systems may be vulnerable to attacks. In case of critical infrastructures, the protection is necessary because an eventual successful attack can cause major damages. The paper presents a solution for protecting water pumping stations from threats using a honeypot inside an OPC UA wrapping structure. As known, Industry 4.0 and Industrial Internet of Things concepts are moving the industry towards interoperability and interoperation. OPC UA is the defined and widely accepted interfacing solution. The transition to OPC UA for both new and legacy systems can be realized through wrappers, such middleware protocol conversion and data wrapping structures are studied and developed. The proposed honeypot is conceived for Node-RED based applications being able to access Modbus, S7, OPC UA local structures and exposing tags in OPC UA server. The implemented structure was tested proving satisfactory results.","2379-0482","978-1-7281-2331-8","10.1109/CSCS.2019.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8745269","honeypot, OPC UA, water pumping stations, Node RED, wrappers, industrial internet of things","","Internet of Things;middleware;open systems;SCADA systems;security of data;water pumps","interoperability;legacy systems;middleware protocol conversion;data wrapping structures;OPC UA local structures;OPC UA server;OPC UA wrapper;water pumping stations;honeypot technologies;water infrastructure;automation/SCADA systems;critical infrastructures;OPC UA wrapping structure;Industrial Internet of Things;Industry 4.0;Node-RED based applications","","1","","20","IEEE","27 Jun 2019","","","IEEE","IEEE Conferences"
"Research on OPC UA Security Encryption Method","Z. Luo; X. Zhang","Advanced Manufacturing Engineering College, Chongqing University of Posts and Telecommunications, Chongqing, China; Advanced Manufacturing Engineering College, Chongqing University of Posts and Telecommunications, Chongqing, China","2020 IEEE International Conference on Information Technology,Big Data and Artificial Intelligence (ICIBA)","14 Dec 2020","2020","1","","287","292","With the continuous development of the internet, the existing risk coefficient in it is also rising. The original defense system has been unable to effectively resist the current risk. Illegal network monitoring, network intrusion attack, theft, tampering, network terrorism and other illegal criminal activities are flooding the whole network space in different degrees, which may bring security threats and economic losses to enterprises and individuals at any time. And with the development of industrial informatization, the data in the process of industrial production needs to be shared or users can see the production data at any time, so the security of data in the transmission process becomes a problem. At present, the OPC UA protocol is used by the devices in the factory when they interact with each other. This paper mainly studies the security status and communication efficiency of OPC UA. The communication efficiency here is mainly the encryption efficiency of the encryption algorithm, which improves the communication efficiency by improving the encryption efficiency.","","978-1-7281-5224-0","10.1109/ICIBA50161.2020.9276932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9276932","OPC UA;Hybrid encryption algorithm;Cyber Security;Communication efficiency","Security;Servers;Viruses (medical);Software;Computer viruses;Encryption;Trojan horses","computer network security;cryptographic protocols;Internet","communication efficiency;encryption efficiency;encryption algorithm;OPC UA security encryption method;continuous development;existing risk coefficient;original defense system;current risk;illegal network monitoring;network intrusion attack;network terrorism;illegal criminal activities;network space;security threats;economic losses;industrial informatization;industrial production needs;production data;transmission process;OPC UA protocol;security status","","","","7","IEEE","14 Dec 2020","","","IEEE","IEEE Conferences"
"Hybrid OPC UA: Enabling Post-Quantum Security for the Industrial Internet of Things","S. Paul; E. Guerin","Corporate Sector Research and Advance Engineering, Robert Bosch GmbH, Renningen, Germany; Corporate Sector Research and Advance Engineering, Robert Bosch GmbH, Renningen, Germany","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","238","245","Cyber-physical systems (CPS) are considered a crucial part for providing connectivity in industrial environments. However, the recent increase in connectivity has led to an extended attack vector. Therefore, it is important that CPS are secured against current and — due to their long life span — also against future threats, such as quantum computers. The security of present communication can be broken once a sufficiently powerful quantum computer is available. To protect against this attack vector, applications and protocols should start utilizing quantum-resistant primitives. One approach that maintains common security guarantees and protects against quantum computer attacks is to use hybrid constructions: a combination of classically secure and quantum-resistant schemes. In this work, we propose a hybrid key exchange mechanism for the industrial communication protocol Open Platform Communications Unified Architecture (OPC UA). We describe four distinct instantiations based on selected quantum-resistant key encapsulation mechanisms (KEMs), namely NewHope, NTRU, CRYSTALS-Kyber, and Saber. We implement our resulting quantum-resistant modifications of OPC UA on two different ARM based platforms and present detailed performance footprints. Finally, we show the feasibility of employing hybrid quantum-resistant key exchange within OPC UA preserving industrial communication against future threats.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9212112","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9212112","Industrial IoT;Hybrid key exchange;OPC UA;Post-quantum cryptography.","Computers;Performance evaluation;Encapsulation;Quantum computing;Protocols;Industrial communication;Solids","cryptographic protocols;Internet of Things;public key cryptography;quantum computing;quantum cryptography;telecommunication security","hybrid OPC UA;post-quantum security;cyber-physical systems;CPS;industrial environments;extended attack vector;future threats;quantum computers;quantum-resistant primitives;common security guarantees;quantum computer attacks;hybrid constructions;quantum-resistant schemes;hybrid key exchange mechanism;Open Platform Communications Unified Architecture;selected quantum-resistant key encapsulation mechanisms;hybrid quantum-resistant key exchange;ARM based platforms;quantum-resistant modifications;industrial communication protocol;industrial Internet of Things","","1","","32","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"OPC UA security for protecting substation and control center data communication in the distribution domain of the smart grid","P. Jafary; S. Repo; M. Salmenpera; H. Koivisto","Department of Electrical Engineering, Tampere University of Technology, Tampere, Finland; Department of Electrical Engineering, Tampere University of Technology, Tampere, Finland; Department of Automation Science and Engineering, Tampere University of Technology, Tampere, Finland; Department of Automation Science and Engineering, Tampere University of Technology, Tampere, Finland","2015 IEEE 13th International Conference on Industrial Informatics (INDIN)","1 Oct 2015","2015","","","645","651","The distribution domain of the smart grid incorporates advantages of the newest substation automation standards in order to enhance distribution network automation. State-of-the-art distribution automation solutions use the public Internet for exchanging data between substation and control center. This presents challenges for cybersecurity, particularly for critical data determining distribution network operation. Therefore, Internet communication between substation and control center should be carried out via a secure communication protocol. OPC Unified Architecture (UA) is an interoperable communication standard supports Internet protocols from one hand and obtains benefits from mature built-in security mechanisms from other hand. This paper describes a solution for secure data transmission between modern substation and control center over the Internet. In this approach, circuit breaker position data is chosen as the data example that is defined in respect to the IEC 61850 data model and securely transmitted to OPC UA client application at remote control center by employing the OPC UA security architecture functions.","2378-363X","978-1-4799-6649-3","10.1109/INDIN.2015.7281811","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281811","distribution automation;IEC 61850;OPC UA security model;smart grid;substation automation","Security;IEC Standards;Logic gates;Protocols;Internet;Substation automation","circuit breakers;IEC standards;Internet;power distribution protection;power engineering computing;power system security;security of data;smart power grids;substation automation;substation protection;telecontrol","OPC UA security;substation protection;control center data communication;smart grid distribution domain;substation automation standard;distribution network automation enhancement;cybersecurity;Internet communication;secure communication protocol;OPC unified architecture;interoperable communication standard;Internet protocol;secure data transmission;circuit breaker position data;IEC 61850 data model;remote control center","","4","","22","IEEE","1 Oct 2015","","","IEEE","IEEE Conferences"
"Portable Trust Anchor for OPC UA Using Auto-Configuration","D. Meier; F. Patzer; M. Drexler; J. Beyerer","Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany; Fraunhofer Institute of Optronics, System Technologies, and Image Exploitation IOSB, Karlsruhe, Germany","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","270","277","With increasing connectivity between industrial devices their attack surface grows. Consequently, secure setups have to allow these devices to distinguish trustworthy and untrustworthy communication partners. One of the most significant and wide-spread protocols for Ethernet-based data exchange between industrial devices and controls is the Open Platform Communications Unified Architecture (OPC UA). Although the OPC UA standard includes certificate-based security measures, it lacks of applicable solutions for bootstrapping trust. For secure communication, each OPC UA application is supposed to hold an application certificate which can be managed by a Global Discovery Server (GDS). Simply put, applications request their certificate from the GDS as well as information about trustworthy and revoked certificates of third parties. However, the OPC UA specifications do not suggest a secure method to establish the initial trust for the communication between an application and the GDS. Moreover, in current implementations, the administrator has to manually interchange the certificates between the peers to build sufficient trust relationships. This paper proposes an evaluated portable trust-anchor-based concept to establish this initial trust and demonstrates it solely based on standardized OPC UA communication.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9211904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211904","OPC UA;Security;Trust;Certificate;Provisioning;Trust Anchor;Global Discovery Server","Protocols;Conferences;Servers;Security;Standards;Manufacturing automation","computer network security;electronic data interchange;local area networks;protocols;trusted computing","secure communication;application certificate;Global Discovery Server;GDS;revoked certificates;OPC UA specifications;secure method;standardized OPC;portable trust-anchor-based concept;certificate-based security measures;OPC UA standard;Open Platform Communications Unified Architecture;Ethernet-based data exchange;untrustworthy communication partners;trustworthy communication partners;portable trust anchor","","2","","30","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"Assessing the impact of attacks on OPC-UA applications in the Industry 4.0 era","J. Polge; J. Robert; Y. L. Traon","University of Luxembourg – Interdisciplinary Centre for Security, Reliability and Trust, Luxembourg; University of Luxembourg – Interdisciplinary Centre for Security, Reliability and Trust, Luxembourg; University of Luxembourg – Interdisciplinary Centre for Security, Reliability and Trust, Luxembourg","2019 16th IEEE Annual Consumer Communications & Networking Conference (CCNC)","28 Feb 2019","2019","","","1","6","The advent of the Internet of Things (IoT) is leading to create “System-of-Systems”, where disparate information systems, sensors, devices, people and software solutions are used altogether. Industrial companies tend to apply the same concept for gaining in productivity. Several consortia, such as the German initiative Industrie 4.0, recommend to use the OPCUA framework to manage interoperability issues. Associate to the convergence of the Operational Technology (OT) and the Information Technology (IT) domains, it may lead to create a new attack surface, that needs to be apprehended. The contribution is therefore to identify, based on the specifications, the threats and countermeasures that may occur/be applied when using OPC-UA in an Industry 4.0 environment and to highlight the impact of the eavesdropping and message flooding attacks on an OPC-UA application implemented on a real testbed.","2331-9860","978-1-5386-5553-5","10.1109/CCNC.2019.8651671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8651671","","Security;Servers;Industries;Protocols;Internet of Things;Computer architecture;Production","client-server systems;computer network security;Internet of Things;open systems","OPC-UA application;IoT;disparate information systems;software solutions;industrial companies;OPCUA framework;interoperability issues;attack surface;message flooding attacks;system-of-systems;operational technology;information technology;German initiative Industrie 4.0","","7","","14","IEEE","28 Feb 2019","","","IEEE","IEEE Conferences"
"Design of unidirectional security gateway system for secure monitoring of OPC-UA data","B. -K. Kim; Y. -J. Heo; J. -C. Na","System Security Research Group Electronics and Telecommunications Research Institute, Daejeon, Korea; System Security Research Group Electronics and Telecommunications Research Institute, Daejeon, Korea; System Security Research Group Electronics and Telecommunications Research Institute, Daejeon, Korea","2017 International Conference on Information and Communication Technology Convergence (ICTC)","14 Dec 2017","2017","","","1287","1288","A unidirectional security gateway is a network system in which data can travel in only one direction. Therefore, the system are used in protecting the safety and reliability of various critical infrastructures. Most of all, it has to be deployed with send and receive transceivers disconnected for one direction to ensure information security. In this paper, we introduce a unidirectional security gateway system, named UNIWAY that has a unidirectional data transfer mechanism for secure monitoring of OPC-UA data. The proposed system has the advantage of monitoring the data efficiently while protecting the OPC-UA server in the critical infrastructure.","","978-1-5090-4032-2","10.1109/ICTC.2017.8190923","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190923","Unidirectional security gateway;UNIWAY;OPC-UA;cyber-attack","Security;Servers;Monitoring;Logic gates;Data transfer;Protocols","client-server systems;computer crime;computer network security;electronic data interchange;firewalls;internetworking","OPC-UA data;OPC-UA server;unidirectional data transfer mechanism;information security;network system;secure monitoring;unidirectional security gateway system;critical infrastructure","","5","","8","IEEE","14 Dec 2017","","","IEEE","IEEE Conferences"
"Secure Onboarding of IIoT Devices using OPC UA","F. Kohnhäuser; S. Grüner; J. Heuschkel","ABB Corporate Research Center, Ladenburg, Germany; ABB Corporate Research Center, Ladenburg, Germany; ABB Corporate Research Center, Ladenburg, Germany","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","4","In today’s Industrial Internet of Things (IIoT), a broad range of communication protocols are utilized. Built-in security mechanisms enable these protocols to protect communication and defend against network attacks. However, before IIoT devices can utilize these security mechanisms, they need to be securely onboarded in the network. Although several onboarding solutions exist, there is no widely applicable and easy solution for all protocols. Thus, owners of IIoT devices must currently perform multiple processes until they can securely use a device in operation, which requires a high amount of manual effort and onboarding infrastructure.In this work, we present a generic secure onboarding solution for a broad range of network protocols based on OPC UA. OPC UA is particularly suited for this task, as it is one of the most widespread IIoT protocols and one of few protocols whose standard defines a secure onboarding. Our solution leverages the OPC UA onboarding process to equip other IIoT protocols with the initial trust and credentials to establish secure connections. To this end, only minor extensions to the OPC UA implementation on devices are necessary, such that device owners can reuse their OPC UA onboarding infrastructure without any modifications. As a proof of concept for our solution, we demonstrate the secure onboarding of an HTTPS web server. Our implementation fully reuses the reference implementation OPC UA sample server as infrastructure and only needs minor extensions to the IIoT device.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921547","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921547","OPC UA;secure onboarding;Industry 4.0","Performance evaluation;Protocols;Authentication;Web servers;Security;Task analysis;Standards","computer network security;hypermedia;Internet of Things;transport protocols","IIoT device;OPC UA;communication protocols;security mechanisms;onboarding solutions;widely applicable solution;onboarding infrastructure;generic secure onboarding solution;network protocols;IIoT protocols;secure connections;device owners;secure onboarding;protect communication;HTTPS Web server","","1","","12","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"Development of a monitoring system for encrypted data by OPC UA","T. Honda; Y. Shimazawa; T. Hamaguchi; Y. Hashimoto","Department of Industrial Management Engineering, Nagoya Institute of Technology, Nagoya, Japan; Department of Industrial Management Engineering, Nagoya Institute of Technology, Nagoya, Japan; Department of Industrial Management Engineering, Nagoya Institute of Technology, Nagoya, Japan; Department of Industrial Management Engineering, Nagoya Institute of Technology, Nagoya, Japan","2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI)","13 Jun 2022","2021","","","731","736","Cyber-attacks on critical infrastructure have been on the rise. Therefore, cyber-security has become very important for Industrial Control Systems (ICS). For communication protocol in ICS networks, the Open Platform Communications Unified Architecture (OPC UA) communication protocol, which enables secure and platform-independent communications, is expected to be widely used. Beginning from OPC UA v1.04, which was released in 2021, Pub/Sub mode has been supported in addition to Client/Server. Because it can easily support much more communications than usual, it can support all use cases in the industrial sector. An important property of OPC UA is encryption. It is effective in protecting communication data from tampering and eavesdropping but also makes it impossible to monitor communications. In ICS, ill commands to controllers can cause dangerous situations. Even a secure communication protocol cannot guarantee that the data being communicated are safe. There are many types of machines, such as operating support systems and engineering workstations, that can send commands to controllers. They are implemented in common operating systems and may fall victim to a cyber-attack. Therefore, the commands to controllers should be monitored. We propose a monitoring system for encrypted data by OPC UA.","2770-8470","978-1-6654-2420-2","10.1109/IIAI-AAI53430.2021.00129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9790936","OPC UA;encrypted data;monitoring system;cyber-security","Integrated circuits;Uniform resource locators;Protocols;Operating systems;Industrial control;Encryption;Workstations","cryptography;data protection;industrial control;protocols;telecommunication networks;telecommunication security","cyber-attack;cyber-security;encrypted data monitoring system;engineering workstations;ICS networks;industrial control systems;industrial sector;OPC UA v1.04;open platform communication unified architecture communication protocol;operating systems;platform-independent communications;pub-sub mode;secure communication protocol;support systems","","","","20","IEEE","13 Jun 2022","","","IEEE","IEEE Conferences"
"Security Challenges in Control Network Protocols: A Survey","A. Volkova; M. Niedermeier; R. Basmadjian; H. de Meer","Computer Networking Laboratory, University of Passau, Passau, Germany; Computer Networking Laboratory, University of Passau, Passau, Germany; Computer Networking Laboratory, University of Passau, Passau, Germany; Computer Networking Laboratory, University of Passau, Passau, Germany","IEEE Communications Surveys & Tutorials","22 Feb 2019","2019","21","1","619","639","With the ongoing adoption of remotely communicating and interacting control systems harbored by critical infrastructures, the potential attack surface of such systems also increases drastically. Therefore, not only the need for standardized and manufacturer-agnostic control system communication protocols has grown, but also the requirement to protect those control systems' communication. There have already been numerous security analyses of different control system communication protocols; yet, these have not been combined with each other sufficiently, mainly due to three reasons: First, the life cycles of such protocols are usually much longer than those of other Internet and communication technologies, therefore legacy protocols are often not considered in current security analyses. Second, the usage of certain control system communication protocols is usually restricted to a particular infrastructure domain, which leads to an isolated view on them. Third, with the accelerating pace at which both control system communication protocols and threats against them develop, existing surveys are aging at an increased rate, making their re-investigation a necessity. In this paper, a comprehensive survey on the security of the most important control system communication protocols, namely Modbus, OPC UA, TASE.2, DNP3, IEC 60870-5-101, IEC 60870-5-104, and IEC 61850 is performed. To achieve comparability, a common test methodology based on attacks exploiting well-known control system protocol vulnerabilities is created for all protocols. In addition, the effectiveness of the related security standard IEC 62351 is analyzed by a pre- and post-IEC 62351 comparison.","1553-877X","","10.1109/COMST.2018.2872114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8472799","Control systems;network protocols;network security","Protocols;Security;IEC Standards;SCADA systems;Tutorials","control system security;IEC standards;protocols;telecommunication security","manufacturer-agnostic control system communication protocols;communication technologies;legacy protocols;related security standard IEC 62351;control network protocols;security analysis;security challenges;critical infrastructures;potential attack surface;control system communication protocols;control system protocol vulnerabilities;Modbus;OPC UA;TASE.2;DNP3;IEC 60870-5-101;IEC 60870-5-104;IEC 61850","","59","","74","IEEE","26 Sep 2018","","","IEEE","IEEE Journals"
