"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Visoky J.; Johnson W.","Visoky, Jack (58525957400); Johnson, Warren (58525294200)","58525957400; 58525294200","Industrial Protocol Security and Control System Performance: How Hardware Techniques Can Mitigate Performance Impacts of Cryptography","2022","Proceedings of the International Ship Control Systems Symposium","","","","","","8","0","10.24868/10711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187449637&doi=10.24868%2f10711&partnerID=40&md5=82b9c17dc0db0d6ce0c5b8e752de5ab0","Conference paper","Final","","Scopus","2-s2.0-85187449637"
"","","","Proceedings - 2019 IEEE International Conference on Industrial Cyber Physical Systems, ICPS 2019","2019","Proceedings - 2019 IEEE International Conference on Industrial Cyber Physical Systems, ICPS 2019","","","","","","840","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070928606&partnerID=40&md5=8070ed09d5716675bf358cee81a8c8dc","Conference review","Final","","Scopus","2-s2.0-85070928606"
"Yaben R.; Lundsgaard N.; August J.; Vasilomanolakis E.","Yaben, Ricardo (58561348000); Lundsgaard, Niels (59210399400); August, Jacob (59209689700); Vasilomanolakis, Emmanouil (55948829600)","58561348000; 59210399400; 59209689700; 55948829600","Towards Identifying Neglected, Obsolete, and Abandoned IoT and OT Devices","2024","TMA 2024 - Proceedings of the 8th Network Traffic Measurement and Analysis Conference","","","","","","","2","10.23919/TMA62044.2024.10558996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197939009&doi=10.23919%2fTMA62044.2024.10558996&partnerID=40&md5=f69bc8ea8b800f388305190f8e2ca2dd","Conference paper","Final","","Scopus","2-s2.0-85197939009"
"Pfrang S.; Giraud M.; Borcherding A.; Meier D.; Beyerer J.","Pfrang, Steffen (57189311407); Giraud, Mark (57208409921); Borcherding, Anne (57208404994); Meier, David (57192379419); Beyerer, Jürgen (6603794653)","57189311407; 57208409921; 57208404994; 57192379419; 6603794653","Design of an example network protocol for security tests targeting industrial automation systems","2019","ICISSP 2019 - Proceedings of the 5th International Conference on Information Systems Security and Privacy","","","","727","738","11","1","10.5220/0007704907270738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064597805&doi=10.5220%2f0007704907270738&partnerID=40&md5=9964d72299a91cfd56914f84457eb938","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85064597805"
"","","","Proceedings - 2017 IEEE 15th International Conference on Industrial Informatics, INDIN 2017","2017","Proceedings - 2017 IEEE 15th International Conference on Industrial Informatics, INDIN 2017","","","","","","1252","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041168680&partnerID=40&md5=3825b2ac079b522e20bda0f12ede8e68","Conference review","Final","","Scopus","2-s2.0-85041168680"
"Watson V.; Lou X.; Gao Y.","Watson, Venesa (57195641972); Lou, Xinxin (57195634183); Gao, Yuan (57226044069)","57195641972; 57195634183; 57226044069","A review of PROFIBUS protocol vulnerabilities: Considerations for implementing authentication and authorization controls","2017","ICETE 2017 - Proceedings of the 14th International Joint Conference on e-Business and Telecommunications","4","","","444","449","5","9","10.5220/0006426504440449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029442659&doi=10.5220%2f0006426504440449&partnerID=40&md5=20cdee5b054412180205f77b23998689","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85029442659"
"Bendjelloul A.; Gaham M.; Bouzouia B.; Moufid M.; Mihoubi B.","Bendjelloul, Abdelhamid (57547981900); Gaham, Mehdi (35317402100); Bouzouia, Brahim (6602694007); Moufid, Mansour (52663909500); Mihoubi, Bachir (57160129100)","57547981900; 35317402100; 6602694007; 52663909500; 57160129100","Multi Agent Systems Based CPPS – An Industry 4.0 Test Case","2022","Lecture Notes in Networks and Systems","413 LNNS","","","187","196","9","2","10.1007/978-3-030-96311-8_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126982295&doi=10.1007%2f978-3-030-96311-8_18&partnerID=40&md5=4b929c362af517e032a94ebee801072f","Conference paper","Final","","Scopus","2-s2.0-85126982295"
"Lee J.-K.; Shim J.-Y.; Lee K.-H.","Lee, June-Kyoung (57195563137); Shim, Jae-Yoon (57201199368); Lee, Kyoung-Hak (57195567935)","57195563137; 57201199368; 57195567935","Analysis of security vulnerability and measures for safe smart factory","2018","Journal of Advanced Research in Dynamical and Control Systems","10","1","","228","234","6","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043759612&partnerID=40&md5=34fb2fd4c6d19175460f86aa0f41c91d","Article","Final","","Scopus","2-s2.0-85043759612"
"Shin S.; Park M.; Kim T.; Yang H.","Shin, SooHyun (58178588500); Park, MyungJoo (59347006100); Kim, TaeWan (59061868000); Yang, HyoSik (13404941700)","58178588500; 59347006100; 59061868000; 13404941700","Architecture for Enhancing Communication Security with RBAC IoT Protocol-Based Microgrids","2024","Sensors","24","18","6000","","","","4","10.3390/s24186000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205236770&doi=10.3390%2fs24186000&partnerID=40&md5=84483213e670c4d1bd340bb574919ec2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85205236770"
"Ismail A.; Kastner W.","Ismail, Ahmed (57190187646); Kastner, Wolfgang (8390971800)","57190187646; 8390971800","Throttled service calls in OPC UA","2018","Proceedings of the IEEE International Conference on Industrial Technology","2018-February","","","1658","1663","5","2","10.1109/ICIT.2018.8352430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046938025&doi=10.1109%2fICIT.2018.8352430&partnerID=40&md5=601dbbac18c1b58383639c5fe2efdd51","Conference paper","Final","","Scopus","2-s2.0-85046938025"
"Han D.; Zhao Y.; Gong Y.","Han, Dantao (57222036388); Zhao, Yanling (57211239368); Gong, Yanjie (57222046822)","57222036388; 57211239368; 57222046822","Design of Multi-Protocol Industrial Ethernet Security Monitor","2021","Proceedings of 2021 IEEE International Conference on Power Electronics, Computer Applications, ICPECA 2021","","","9362589","17","20","3","2","10.1109/ICPECA51329.2021.9362589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102632768&doi=10.1109%2fICPECA51329.2021.9362589&partnerID=40&md5=3fd598e000b135261c7e3f5c1144c542","Conference paper","Final","","Scopus","2-s2.0-85102632768"
"Pfrang S.; Meier D.; Fleig A.; Beyerer J.","Pfrang, Steffen (57189311407); Meier, David (57192379419); Fleig, Andreas (57523435600); Beyerer, Jürgen (6603794653)","57189311407; 57192379419; 57523435600; 6603794653","A meta model for a comprehensive description of network protocols improving security tests","2020","ICISSP 2020 - Proceedings of the 6th International Conference on Information Systems Security and Privacy","","","","671","682","11","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083031503&partnerID=40&md5=8c1734aafce8c3a206e001d71e69a1c6","Conference paper","Final","","Scopus","2-s2.0-85083031503"
"Wei M.; Mo L.; Zhuang Y.; Kim K.","Wei, Min (26538271200); Mo, Lian (57202450504); Zhuang, Yuan (57192905880); Kim, Keecheon (12140589000)","26538271200; 57202450504; 57192905880; 12140589000","Secure framework and key agreement mechanism for OPC-UA in industrial IoT","2018","ACM International Conference Proceeding Series","","","71","","","","0","10.1145/3164541.3164568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048412711&doi=10.1145%2f3164541.3164568&partnerID=40&md5=a122420c9cf20d47d4ba3695dbac7c7f","Conference paper","Final","","Scopus","2-s2.0-85048412711"
"Lee J.-K.; Lee S.-W.; Lee K.-H.","Lee, June-Kyoung (57195563137); Lee, Seong-Woo (57203946364); Lee, Kyoung-Hak (57195567935)","57195563137; 57203946364; 57195567935","An Implementation of Convergence Security Solution for Overcoming of Security Vulnerabilities in Industrial Control Communication Network","2019","Wireless Personal Communications","105","2","","545","565","20","3","10.1007/s11277-018-5970-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053671706&doi=10.1007%2fs11277-018-5970-4&partnerID=40&md5=9e99723fbc1969b2800e3571f851e794","Article","Final","","Scopus","2-s2.0-85053671706"
"Volkova A.; Niedermeier M.; Basmadjian R.; De Meer H.","Volkova, Anna (57204077369); Niedermeier, Michael (55793520100); Basmadjian, Robert (17433324400); De Meer, Hermann (8905799500)","57204077369; 55793520100; 17433324400; 8905799500","Security challenges in control network protocols: A survey","2019","IEEE Communications Surveys and Tutorials","21","1","8472799","619","639","20","91","10.1109/COMST.2018.2872114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054390894&doi=10.1109%2fCOMST.2018.2872114&partnerID=40&md5=446731d7191732c2867e0c874841fc72","Article","Final","","Scopus","2-s2.0-85054390894"
"Tran Van A.; Levillain O.; Debar H.","Tran Van, Arthur (58312186200); Levillain, Olivier (36906735100); Debar, Herve (6603471078)","58312186200; 36906735100; 6603471078","Mealy Verifier: An Automated, Exhaustive, and Explainable Methodology for Analyzing State Machines in Protocol Implementations","2024","ACM International Conference Proceeding Series","","","16","","","","0","10.1145/3664476.3664506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200350064&doi=10.1145%2f3664476.3664506&partnerID=40&md5=349139e9a21e991234f7f1834ea5e63d","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85200350064"
"Pinto R.; Gonçalves G.; Delsing J.; Tovar E.","Pinto, Rui (57202598115); Gonçalves, Gil (14060197800); Delsing, Jerker (6701332982); Tovar, Eduardo (7006312557)","57202598115; 14060197800; 6701332982; 7006312557","Incremental Dendritic Cell Algorithm for Intrusion Detection in Cyber-Physical Production Systems","2021","Lecture Notes in Networks and Systems","285","","","664","680","16","6","10.1007/978-3-030-80129-8_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112694227&doi=10.1007%2f978-3-030-80129-8_47&partnerID=40&md5=4ae79b9d9c2ff6dd10ef093134500d3e","Conference paper","Final","","Scopus","2-s2.0-85112694227"
"Pfrang S.; Meier D.; Fleig A.; Beyerer J.","Pfrang, Steffen (57189311407); Meier, David (57192379419); Fleig, Andreas (57523435600); Beyerer, Jurgen (6603794653)","57189311407; 57192379419; 57523435600; 6603794653","A Meta Model for a Comprehensive Description of Network Protocols Improving Security Tests","2020","International Conference on Information Systems Security and Privacy","","","","671","682","11","0","10.5220/0009150206710682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176372620&doi=10.5220%2f0009150206710682&partnerID=40&md5=486c34aa8505a4ab61e625ef97f3e2fe","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176372620"
"Pfrang S.; Giraud M.; Borcherding A.; Meier D.; Beyerer J.","Pfrang, Steffen (57189311407); Giraud, Mark (57208409921); Borcherding, Anne (57208404994); Meier, David (57192379419); Beyerer, Jürgen (6603794653)","57189311407; 57208409921; 57208404994; 57192379419; 6603794653","Design of an Example Network Protocol for Security Tests Targeting Industrial Automation Systems","2019","International Conference on Information Systems Security and Privacy","","","","727","738","11","1","10.5220/0007704907270738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176326425&doi=10.5220%2f0007704907270738&partnerID=40&md5=7bd530f0827c55b592fb26fcc60a344f","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176326425"
