Title,Authors,Year,DOI,Document Type
Industrial Protocol Security and Control System Performance: How Hardware Techniques Can Mitigate Performance Impacts of Cryptography,Visoky J.; Johnson W.,2022,10.24868/10711,Conference paper
"Towards Identifying Neglected, Obsolete, and Abandoned IoT and OT Devices",Yaben R.; Lundsgaard N.; August J.; Vasilomanolakis E.,2024,10.23919/TMA62044.2024.10558996,Conference paper
Design of an example network protocol for security tests targeting industrial automation systems,Pfrang S.; Giraud M.; Borcherding A.; Meier D.; Beyerer J.,2019,10.5220/0007704907270738,Conference paper
A review of PROFIBUS protocol vulnerabilities: Considerations for implementing authentication and authorization controls,Watson V.; Lou X.; Gao Y.,2017,10.5220/0006426504440449,Conference paper
Multi Agent Systems Based CPPS – An Industry 4.0 Test Case,Bendjelloul A.; Gaham M.; Bouzouia B.; Moufid M.; Mihoubi B.,2022,10.1007/978-3-030-96311-8_18,Conference paper
Analysis of security vulnerability and measures for safe smart factory,Lee J.-K.; Shim J.-Y.; Lee K.-H.,2018,,Article
Architecture for Enhancing Communication Security with RBAC IoT Protocol-Based Microgrids,Shin S.; Park M.; Kim T.; Yang H.,2024,10.3390/s24186000,Article
Throttled service calls in OPC UA,Ismail A.; Kastner W.,2018,10.1109/ICIT.2018.8352430,Conference paper
Design of Multi-Protocol Industrial Ethernet Security Monitor,Han D.; Zhao Y.; Gong Y.,2021,10.1109/ICPECA51329.2021.9362589,Conference paper
A meta model for a comprehensive description of network protocols improving security tests,Pfrang S.; Meier D.; Fleig A.; Beyerer J.,2020,,Conference paper
Secure framework and key agreement mechanism for OPC-UA in industrial IoT,Wei M.; Mo L.; Zhuang Y.; Kim K.,2018,10.1145/3164541.3164568,Conference paper
An Implementation of Convergence Security Solution for Overcoming of Security Vulnerabilities in Industrial Control Communication Network,Lee J.-K.; Lee S.-W.; Lee K.-H.,2019,10.1007/s11277-018-5970-4,Article
Security challenges in control network protocols: A survey,Volkova A.; Niedermeier M.; Basmadjian R.; De Meer H.,2019,10.1109/COMST.2018.2872114,Article
"Mealy Verifier: An Automated, Exhaustive, and Explainable Methodology for Analyzing State Machines in Protocol Implementations",Tran Van A.; Levillain O.; Debar H.,2024,10.1145/3664476.3664506,Conference paper
Incremental Dendritic Cell Algorithm for Intrusion Detection in Cyber-Physical Production Systems,Pinto R.; Gonçalves G.; Delsing J.; Tovar E.,2021,10.1007/978-3-030-80129-8_47,Conference paper
A Meta Model for a Comprehensive Description of Network Protocols Improving Security Tests,Pfrang S.; Meier D.; Fleig A.; Beyerer J.,2020,10.5220/0009150206710682,Conference paper
Design of an Example Network Protocol for Security Tests Targeting Industrial Automation Systems,Pfrang S.; Giraud M.; Borcherding A.; Meier D.; Beyerer J.,2019,10.5220/0007704907270738,Conference paper
Combining System Integrity Verification With Identity and Access Management,Kylänpää M.; Salonen J.,2022,,Conference paper
Development and implementation of a secure production network,Reithner I.; Papa M.; Lueger B.; Ćato M.; Hollerer S.; Seemann R.,2020,10.2507/31st.daaam.proceedings.102,Conference paper
Adopting OPC UA for Efficient and Secure Firmware Transmission in Industry 4.0 Scenarios,Biondani F.; Cheng D.S.; Fummi F.,2024,10.1109/ISIE54533.2024.10595820,Conference paper
I Know Who You Scanned Last Summer: Mapping the Landscape of Internet-Wide Scanners,Mayer J.; Schramm M.; Bechtel L.; Lohmiller N.; Kaniewski S.; Menth M.; Heer T.,2024,10.23919/IFIPNetworking62109.2024.10619808,Conference paper
Evaluating and improving the internal security of OPC-UA based software applications,Jankovic M.; Siavvas M.; Tsoukalas D.; Kehagias D.,2020,,Conference paper
Universal protection for industrial control systems,Ono T.,2013,,Conference paper
