,Document Title,Abstract
4,Controlling CAN Servo Step Drives and Their Remote Monitoring by Using Protocol OPC UA,"The diverse requirements of customers in automation systems increase the need for improved adaptability, flexibility and of simplicity production processes. which creates new horizons for modern production systems. Fortunately, the achievements of the Industry 4.0 (fourth industrial revolution) have provided many solutions to these problems. In this study, an OPC UA-based solution is proposed for monitoring the working process of CAN servo drives. By integrating C++ based OPC UA libraries to implement common OPC UA functionality and developing protocol of interaction between the kernel of CNC system and OPC UA server. The aim of this work is to ensure the connection mechanism between OPC UA Server of CNC system and OPC UA clients which are currently existed on the market. This flexible model allows users to remotely tune and set up CAN servo drives and monitor their work."
11,From Requirement Specification to OPC UA Information Model Design: A Product Assembly Line Monitoring Case Study,"Open Platform Communication Unified Architecture (OPC UA) has emerged as a highly-demanded standard in building industrial systems. One factor in this success is the concepts of OPC UA address space and OPC UA information model. OPC UA address space provides a mechanism to represent the resources of an OPC UA server and its field devices as OPC UA nodes. OPC UA information model structures OPC UA nodes as a schema. Once other devices and systems understand the schema, they can interact appropriately with the industrial system. Thus, designing the OPC UA information model is an undeniable and essential practice of OPC UA-based industrial system engineering. However, both academia and industry suffer from a lack of shared experiences on this subject. This gap motivated us to share our experiences on the development of an OPC UA information model. These experiences are based on an actual product assembly line monitoring case study developed at CEA LIST. Overall, in this paper, we aim to throw some light on the steps involved in the transformation of a requirement specification into an OPC UA information model."
14,Querying OPC UA information models with SPARQL,"OPC UA is one of the most important communication protocols for IIoT applications in the automation domain. One important requirement for Industry 4.0 scenarios is standardized semantics, which is introduced into OPC UA through Companion Specifications. Nevertheless, OPC UA still lacks a comfortable interface for accessing these huge graphs, especially on the edge- and cloud-layer. Of course, there is a query language specified for OPC UA. However, to the best of our knowledge, there is no publicly available implementation.In this paper, we will present how SPARQL can be used to query OPC UA graphs natively and also will present rules to transform OPC UA queries into SPARQL queries. Furthermore, we will highlight some issues of OPC UA Query and how they can be bypassed by native SPARQL. Finally, we were able to correctly execute all nine example queries of OPC UA Part 4 Annex B (complex examples) with both approaches."
28,Construction of Industrial Internet of Things Based on MQTT and OPC UA Protocols,"At present, the Internet of Things has become a hot area of global concern and is considered to be another major scientific and technological innovation after the Internet. The Internet of Things can be analyzed from two aspects, one is to access the Internet, and the other is the connection between things. The Industrial Internet of Things, as a new type of industrial ecosystem, collects resources and data during the industrial production process by using miniature low-cost controllers and high-bandwidth wireless networks to achieve flexible configuration of manufacturing raw materials and improve resource utilization. The Industrial Internet of Things not only includes traditional software elements, but also requires hardware controllers and sensors, as well as cloud service platforms, to ultimately achieve intelligent manufacturing. The Industrial Internet of Things based on MQTT adopts the method of upper computer (WeChat applet) + server (Alibaba Cloud Server) + lower computer (WiFi module ESP8266 NodeMcu) to realize data collection and control of industrial production process. Based on OPC UA protocol, The Industrial Internet of Things, by designing an intelligent node device based on embedded Linux system, uses Qt to build the OPC UA protocol. OPC UA is a C / S architecture real-time database framework. By building an OPC UA Client on a handheld terminal device, An OPC UA Serve is set up on the smart terminal device, and the information collected by the handheld terminal is sent to the smart terminal. At the same time, multiple smart terminals are connected through the OPC UA protocol to perform data interaction and information transfer. At the same time, an edge computing algorithm is embedded in the smart terminal, and a large amount of data collected is processed for analysis, screening, and calculation. At the same time, the processed information is transmitted or processed. Reduce data interactions between data sources and data centers, and reduce the amount of information transmitted and stored."
52,Cross-Platform Device Monitoring System Based on OPC UA,"With the development of data monitoring system for industrial equipment, the convenience of data monitoring is paid more and more attention. Traditional data monitoring mostly uses specialized software or visual interface on the device to achieve the purpose of monitoring data, the workflow will be more complex. Even if there is a unified device to receive the data, it is not realistic to monitor all the time. In addition, for the load problem of the micro device, mounting the OPC UA client by itself is heavy. Therefore, in order to improve the visibility of field device data, reduce the load of micro devices and simplify the complex workflow, this paper studies the cross-platform device monitoring system based on OPC UA. The local OPC UA server is used to collect data from industrial devices, and the collected data is processed and transferred to the cloud storage system. The stateless RESTful HTTP request style simplifies the complexity of implementing data transfer between a generic client (browser or other HTTP client) and a Web server, and truly enables users to monitor data anytime and anywhere without consuming too many resources."
65,OPC-UA based small-scale monitoring and control solution for android devices case study for water treatment plants,"Interoperability and mobility are important characteristics of modern industrial solutions, providing advantages regarding cost, time and quality. The interoperability perspective emphasizes the OPC UA protocol, respectively the mobility is focusing on technological processes monitored and controlled through smart devices. The current work proposes a small-scale fast and easy to use software solution for Android operating system that will include a Java based OPC UA client and an overlayered application for supervising technological processes. The applicability of the solution is detailed for the water industry and the paper presents a case study for a water treatment facility."
68,Node-Red and OPC UA Based Lightweight and Low-Cost Historian with Application in the Water Industry,"In the context of the Industrial Internet of Things (IIoT), the interoperation of structures and the OPC UA interfacing is of high importance for automation and SCADA systems. Besides process monitoring and control, the historian concept is gaining more and more importance when data circulates vertically and horizontally on automation and supervisory levels. The specificity of the water industry requires a decentralized historian that is able to handle particular needs of local processes. The current work proposes a lightweight and low-cost historian that is applicable on both automation and SCADA levels. The solution consists of a main Java application that embeds the Node-red platform for interfacing with local structures and implements the OPC UA protocol. The developed historian is tested on objectives from the water industry. A water treatment plant test scenario is presented, the results proving the effectiveness of the solution."
77,Modelling an OPC UA client application for predictive maintenance support,"Predictive maintenance is a very important task for each industrial plant. The concept of Industry 4.0 can ensure this service, offering a clever combination of many technologies. This paper presents a method for deploying a software application that provides the maintenance personnel with a useful tool, allowing them to follow the parameters of the process and to prevent its failure. The application has a client-server structure and uses the open platform communications unified architecture (OPC UA) standard and unified architecture transport control protocol (UA TCP) for data communication. The application developed using the proposed method is meant to be a predictive maintenance tool for the blower station of a wastewater treatment plant, so that the maintenance personnel have the necessary data as system health indicators. The maintenance client software shows the personnel the current functional state of the process by synoptic screens. When the maintenance procedures require it, different process states or process parameter values can be accessed from a dedicated Supervisory Control and Data Acquisition (SCADA) database and provide important information to the maintenance personnel (MP)."
81,OPC UA Aggregation Server in the Fog,"Adopting the Fog computing paradigm in traditional Cloud infrastructures reduces latency and optimizes network consumption between data providers and data consumers because the system processes the data closer to its source. However, interoperability issues remain as heterogeneous and distributed data sources with different information models must be accessed for performing Cloud-level processing and analysis. This paper describes an integration architecture based on the OPC UA Aggregation Server paradigm, which introduces Fog-level data processing in industrial automation environments. The proposed architecture allows the creation of a configurable aggregated address space at Fog-level where information from data sources at Edge-level is integrated and served to consumers at Cloud-level. The architecture was tested both to verify that the functional requirements are met, and to analyse the time costs involved in the aggregation of Edge-level servers."
85,Applying OPC-UA for Factory-Wide Industrial Assistance Systems,"Condition monitoring of machines is a building block for efficient production chains. However, monitoring of a single machine does not cover complex faults that occur due to the interactions of different machines in the production chain. To identify these problems, possible causes and the actual defect location within the value chain, is a complex process. Assistance systems solve this by applying artificial intelligence to learn the system behaviour and provide detailed diagnostics and fault predictions covering the complete factory/plant. We aim for an Industry 4.0 compliant system. To achieve that, we use OPC UA to cover the communication between all parts of the assistance system and each assistance system carries an asset administration shell to share information within the network. In this paper, contrary to our previous work, we focus on the communication aspects required to integrate the assistance systems into the corresponding Industry 4.0 environment [1]. Besides that, we discuss options and challenges to extend our approach towards a system with multiple assistance systems in parallel to cover whole factories."
89,An OPC UA-based Crane Model Using Time-Sensitive Networking Technology,"Current control processes in the material handling domain are generally not automated but require manual human intervention. However, the ongoing development towards the Industry 4.0 involves new models and concepts and hence more and more automated control functions will become necessary. That is, devices such as cranes in the material handling domain will become smarter and will also be networked to a larger extent. However, it will be required that control messages passed to the cranes through a network, possibly shared with other traffic, are guaranteed to arrive in time. In this paper, we present an OPC UA-based model of an overhead travelling crane as part of a material handling scenario. The crane can be controlled by a crane remote controller, which we model as well. We use time-sensitive networking technology to ensure deterministic communication between the crane remote controller and the crane. To demonstrate the crane movement, we illustrate it in a simulation before we prove the deterministic communication in a real testbed."
