,Document Title,Abstract
5,"Concurrent OPC UA information model access, enabling real-time OPC UA PubSub","Ongoing changes in industrial automation aim to-wards a flat and highly interconnected architecture that includes end-to-end real-time enabled machine-to-machine communications. Several technologies, such as OPC Unified Architecture (OPC UA) publish-subscribe and time-sensitive networking (TSN), facilitate that change. While OPC UA PubSub and TSN can already provide real-time capabilities, the parallel operation with standard OPC UA client-server remains an open challenge. This article presents preliminary results for solving concurrent information model access between OPC UA PubSub and client-server. The results include the overall RT-TSN-OPC UA concept, an analysis of common concurrent data access mechanisms for their suitability, and identifying critical code segments in the open62541 OPC UA stack. The paper concludes by outlining further research focusing on implementing and evaluating a wait-and obstruction-free mechanism into open62541."
14,Querying OPC UA information models with SPARQL,"OPC UA is one of the most important communication protocols for IIoT applications in the automation domain. One important requirement for Industry 4.0 scenarios is standardized semantics, which is introduced into OPC UA through Companion Specifications. Nevertheless, OPC UA still lacks a comfortable interface for accessing these huge graphs, especially on the edge- and cloud-layer. Of course, there is a query language specified for OPC UA. However, to the best of our knowledge, there is no publicly available implementation.In this paper, we will present how SPARQL can be used to query OPC UA graphs natively and also will present rules to transform OPC UA queries into SPARQL queries. Furthermore, we will highlight some issues of OPC UA Query and how they can be bypassed by native SPARQL. Finally, we were able to correctly execute all nine example queries of OPC UA Part 4 Annex B (complex examples) with both approaches."
22,Black-Box Analysis of the Publish-Subscribe Notification Latency in Real OPC UA Servers,"Among the many enabling technologies Industry 4.0 relies on, the Industrial Internet of Things is a relevant one that enables both horizontal and vertical integration in modern enterprises, to accomplish complex functions that exploit either cloud or edge processing. In particular, the OPC UA protocol is knowing an ever increasing attention for interconnecting devices, equipment, and facilities in next-generation plants. This work focuses on the characterization of the notification latency in distributed systems that rely on the OPC UA publish-subscribe paradigm for interactions. In particular, starting from a black-box experimental evaluation carried out on real setups, we tried to explain the seemingly peculiar behavior of some popular solutions by means of theoretical models complemented with code inspection."
27,Real-time capable OPC-UA Programs over TSN for distributed industrial control,"A key aspect of Industry 4.0 is the continuous interconnectedness of components. The standardized industrial communication protocol OPC UA offers a solution to this problem by enabling the exchange of data between the shop floor level and the inter-enterprise level. Due to the integration of the Time Sensitive Network (TSN) into OPC UA, it is now even possible to exchange information in real-time. Especially on the shop floor, there are numerous heterogeneous distributed devices from sensors to robots which must communicate with each other in real-time to achieve a distributed industrial control. Therefore, we propose an approach to combine real-time communication over TSN with OPC UA Programs to synchronize multiple distributed OPC UA Programs and exchange process data between them without losing real-time guarantees. This can be seen as the enabler of Plug-and-Produce with real-time requirements."
33,Towards an Industrial Converged Network with OPC UA PubSub and TSN,"Technologies such as TSN and OPC UA are enablers for converged networks in industrial applications. TSN enables the coexistence of network traffic with real-time requirements and best-effort requirements. On the other hand, OPC UA defines a common information model in addition to secure communication, scalability, and platform independence. The new specification of OPC UA PubSub enables the possibility of implementing OPC UA on the lower levels of the automation pyramid, the field level. Therefore, combining these two technologies can in principle be implemented for every vertical and horizontal communication. This document analyzes the state of the art of OPC UA over TSN and explains the first steps towards an easy to use proof-of-concept for a converged network that is also designed to be a testbed. The testbed will be used to evaluate the interoperability of TSN-capable devices from different vendors. In addition to that, different OPC UA PubSub implementations will be used and benchmarked. These future results will present an overview of the currently available products and provides hands-on experiences for practical implementations of converged networks."
34,Overview of OPC UA TSN,"Ethernet has become a very extensive communication protocol standard for the intercommunication and connection of enterprises, homes and even data center networks. However, with the rapid development of network technology and the expansion of vertical industry applications, at the data transmission level, there will be higher requirements for the certainty, real-time, and reliability of network transmission. The traditional Ethernet channel access method is based on competition, and cannot meet the real-time requirements of various industries. The OPC UA TSN combination emerges spontaneously. The communication network provided by this combination is not only highly deterministic and real-time, but more importantly, it realizes the true independence of the communication network from equipment manufacturers, in terms of network security, bandwidth, interoperability, synchronization, and delay. It has brought huge improvements. It has to be said that the OPC UA TSN combination is the best partner for establishing a comprehensive network between the sensor and the cloud."
39,Implementation and Performance Analysis of Power and Cost-Reduced OPC UA Gateway for Industrial IoT Platforms,"OPC UA is an international standard for smart factories that defines communication technologies and data processing methods. Therefore, OPC UA supports high interoperability among various protocols and plays an important role in building Smart Factory. However, changing a factory using a variety of existing devices and protocols to a device using a single protocol is, in reality, a barrier to entry due to the enormous cost and lack of experimentation. Therefore, this paper proposes OPC UA gateway that can accommodate OPC UA specification in industrial device platform based on ARM processor. Evaluate performance based on indicators such as publication interval, sampling interval, subscription limit, encryption and security guidelines. Our experimental results show that operating costs are reduced by about 66% compared to x86 processors. It also provides a way to reduce costs over older systems by connecting Microsoft's Azure IoT cloud."
41,Research and application of OPC UA server based on resource constrained platform STM32,"In view of the rapid development trend of intelligent manufacturing and the application status of OPC UA protocol in the field of intelligent manufacturing, the requirement of building OPC UA server on resource constrained platform is proposed. By building STM32 platform and FreeRTOS system environment, the transplantation and operation of OPC UA protocol stack in resource limited platform are realized, the main memory space occupied by OPC UA protocol stack is analyzed, and the implementation path is proposed for later optimization. Through experimental verification, the OPC UA protocol stack runs on the resource limited platform, and the server can be widely used and popularized in the resource limited platform."
50,Conceptual Framework of Smart Factory Based on OPC UA and LSTM Encoder-Decoder,"OPC UA (Open Platform Communications Unified Architecture) is key for multi-heterogeneous software and hardware information integration. Some studies have proposed to apply OPC UA to smartfactory information integration, but most tend to propose concepts and lack application research. While, LSTM Encoder-Decoder (Long Short-Term Memory based Encoder-decoder) is an unsupervised learning method not requiring labeled data. It has good performance in time series data analysis, but few researches relate it with smart factory predictive analysis. This paper proposed a conceptual framework of smart factory based on OPC UA and LSTM Encoder-Decoder technology. Specifically, first, the theories are discussed including the general architecture of smart factory, information integration architecture based on OPC UA and LSTM Encoder-decoder model for smart factory predictive analysis. Then, we introduced the simulation result analysis. Finally, the conclusion was given."
54,Towards Performance Benchmarking of Cyclic OPC UA PubSub over TSN,"PubSub is a recent introduction to a widely-accepted industrial communication protocol OPC UA. It is driven by OPC Foundation Field eXchange group (ex-FLC, ex-Shapers) to enable real-time OPC UA over TSN for cyclic communication in industrial automation. Furthermore, evolution of Soft Programmable Logic Controllers (PLC) to Virtual PLCs entails a wider use of software stacks and applications expected to provide necessary level of performance, which might be influenced by various configuration options of the application, the OPC UA stack, and the underlying operating system. In this work we address this issue with an experimental setup for benchmarking of cyclic PubSub applications using commercial off-the-shelf (COTS) hardware and a state-of-the-art open-source OPC UA PubSub stack. Experimental results show achievable jitter and cycle times for different message sizes, SDK options, and OS configurations."
