,Document Title,Abstract
2,Towards a Web-of-Things Approach for OPC UA Field Device Discovery in the Industrial IoT,"In the opc UA standard, the opc UA information model is the key to semantic interoperability. It refers to an organized structure representing resources in the form of opc UA nodes residing in an opc UA address space. Before runtime, an opc UA server requires an opc UA information model already filled with opc UA nodes corresponding to the available resources of its field devices. It is tricky to the Industrial Internet of Things, a scenario where random field devices can join a sys-tem at any time. Indeed, the opc UA server needs to dynamically discover such devices and update its opc UA information model with new relevant opc UA nodes. Regarding the above challenge, this paper introduces a Web-of-Things (WoT) approach that enables field devices to register with an opc UA server to join the system without manual configuration. The approach relies on WoT Discovery and WoT Thing Description"
6,OPC UA Server Development Technology Based on Domestic Industrial Control Configuration Software,"Aiming at the problem of weak semantic information service ability of domestic industrial control configuration software, this paper studies the key technology of integrated application of industrial control configuration software and OPC UA, packages OPC UA server source code into functional blocks complying with IEC61131-3 international standard, on the basis of domestic AnyControl configuration software and its secondary development kit, and designs OPC UA information model creation module. Thus, OPC UA service can be opened through function blocks in configuration software and the OPC UA information model can be developed visually with low code. By verifying on Arm+Linux platform, this paper shows that the OPC UA service can be started quickly and a four-layer information model can be created by using the domestic configuration software. The OPC UA service function of the domestic industrial control configuration software is realized, which is beneficial for the industrial control system and software developers to quickly master the development technology of OPC UA."
10,Hard Real-Time Capable OPC UA Server as Hardware Peripheral for Single Chip IoT Systems,"The fast semantics project examines the use of the OPC Unified Architecture (OPC UA) in embedded industrial systems and proposes the design of a customizable, hard real time capable OPC UA Intellectual Property Core (IP Core) for single chip computing plattforms. This allows using OPC UA in both novel energy efficient sensor applications and in state of the art field devices. These single chip OPC UA servers form the semantic data sources for future applications such as cloud based added value services or machine learning applications. This article presents the design alternatives and first synthesis results for the implementation of OPC UA servers in embedded systems."
11,From Requirement Specification to OPC UA Information Model Design: A Product Assembly Line Monitoring Case Study,"Open Platform Communication Unified Architecture (OPC UA) has emerged as a highly-demanded standard in building industrial systems. One factor in this success is the concepts of OPC UA address space and OPC UA information model. OPC UA address space provides a mechanism to represent the resources of an OPC UA server and its field devices as OPC UA nodes. OPC UA information model structures OPC UA nodes as a schema. Once other devices and systems understand the schema, they can interact appropriately with the industrial system. Thus, designing the OPC UA information model is an undeniable and essential practice of OPC UA-based industrial system engineering. However, both academia and industry suffer from a lack of shared experiences on this subject. This gap motivated us to share our experiences on the development of an OPC UA information model. These experiences are based on an actual product assembly line monitoring case study developed at CEA LIST. Overall, in this paper, we aim to throw some light on the steps involved in the transformation of a requirement specification into an OPC UA information model."
16,A Compliance Testing Structure for Implementation of Industry Standards through OPC UA,"Information exchange across different departments in factories must be structured and verified for effective production processes. However, any such exchange across networks to clients must be compliant to company standards so that uniformity and security in data dispensation is maintained. Open Platform Communications Unified Architecture (OPC UA) solutions provide users with the flexibility of discharging information through network based protocols. This paper aims to build a compliance testing methodology for external vendors of an organisation who are interconnected with the OPC UA Server-Client Protocols. The structure is built on a host of UA clients that test UA specifications and information models from these vendors. This enables an organisational entity, for example, a manufacturer, to provide its clients, in this case external vendors such as suppliers, with the flexibility of conforming to prescribed standards in a testing phase on an automated digital platform rather than with older methods such as data transfer though databases or documents. An implementation of this approach is presented using example servers created for this purpose. It follows that external vendors can perform compliance testing and possibly improve their standards to match the company standards through remote testing after proper authentication measures provided by OPC UA."
19,Implementation of Energy Data Acquisition Gateway Based on OPC UA,"In order to solve the problem caused by heterogeneous data communication and non-uniform data specification in energy data acquisition, an energy data acquisition gateway based on OPC UA (OPC unified architecture) technology which supports three protocols of ZigBee, BACnet/IP and KNX is proposed and designed. The IMX287 ARM9 microprocessor and embedded Linux operation system are adopted as the hardware and software platform in this gateway. Also the application, hardware framework and software function framework of multi-protocol gateway are illustrated and the configuration of the gateway is performed based on the embedded Web server. Finally, the standard OPC UA energy data server has been developed. It is proved in practice that the energy data acquisition gateway based on OPC UA can support the conversion from different fieldbus protocols to OPC UA data model, providing a unified data access interface and addressing the heterogeneous communication network."
20,Research on Communication Method of OPC UA Client Based on ARM,"The OPC UA standard overcomes many disadvantages of the traditional OPC, and has significant advantages in platform independence, communication security and model construction, thus completing the information exchange under different platforms and interfaces. At present, the automation system equipment has the problems of complex protocols and interfaces and poor portability of industrial computer. To solve this problem, this paper develops the ARM embedded OPC UA client to complete the data communication with the automation system device server by porting the open62541 open source library on the ARM embedded device equipped with the FreeRTOS system. In this research, by building the OPC UA client on the embedded system, the connection and communication with the server are realized, which is also cheap and flexible to use. Experiments show that the system can be used in equipment debugging, field operation and emergency control, and has a wide range of application prospects and practical value."
23,An OPC UA-Compliant Interface of Data Analytics Models for Interoperable Manufacturing Intelligence,"The open platform communications unified architecture (OPC UA) has received attention as a standard for data interoperability in industries. In particular, OPC UA extends its applicability across various industrial sectors by publishing OPC UA companion specifications created in collaboration with other industrial consortiums. However, OPC UA is limited to ensure the interoperability of data analytics models because the relevant companion specifications have not been developed yet. OPC UA should be extended to implement such model interoperability so that machines seamlessly use and share data analytics models across the layers of manufacturing systems to predict and optimize their performance autonomously and collaboratively in terms of interoperable manufacturing intelligence. This article proposes an OPC UA-compliant interface for the exchange of predictive model markup language (PMML), a domain-independent standard for representing XML-based data analytics models. This article includes the design of mapping rules and OPC UA information models for the exchange between PMML and OPC UA, as well as the implementation of an OPC UA server-client prototype to publish and subscribe to OPC UA-compliant regression and neural network models which have been transformed from PMML-based models."
25,OpenModelica OPC UA framework for control applications,"OpenModelica is a general purpose modeling and simulation platform, extremely useful for modeling and simulation. As it comes bundled with it, an OPC UA server is readily available to all OpenModelica users, without additional installation/configuration work. We deployed this OPC UA server with the OPC UA client, implemented through the Python language in Raspberry Pi. The communication is validated through the control of a first order transfer function. A multi-product batch distillation column was also simulated in this framework. In all of the problems, the results are correct, and as per literature findings."
26,Development of OPC UA based centralized server Fieldbus data high efficiency transmit architecture,"In last few years industrial communication system is one of the most important innovations in factory and process automation systems. Many applications of industrial control are changing as communication technology advances, this also brings new opportunities and challenges to fieldbus system. In this paper, we proposed one new fieldbus data transmit architecture. The proposed architecture includes one OPC UA (OPC Unified Architecture) based centralized server, it used to replace the traditional fieldbus direct connection between fieldbus master station and PLC. The high capacity and high-speed characteristics of OPC UA structure are utilized to realize efficient and high timeliness fieldbus data transmission. Under this architecture, we propose a concept of data converter, it used to provide high compatibility with old and new fieldbus devices to reduce the cost of automation system upgrading. Proposed architecture has obvious advantages in multi PLC joint work environment."
