,Category,Document Title,Authors,Publication Title,Publication Year,Abstract,Author Keywords,IEEE Terms,Document Identifier
2,['Product Development (PD)'],Towards a Web-of-Things Approach for OPC UA Field Device Discovery in the Industrial IoT,"['Q. -D. Nguyen', ' S. Dhouib', ' J. -P. Chanet', ' P. Bellot']",2022 IEEE 18th International Conference on Factory Communication Systems (WFCS),2022,"In the opc UA standard, the opc UA information model is the key to semantic interoperability. It refers to an organized structure representing resources in the form of opc UA nodes residing in an opc UA address space. Before runtime, an opc UA server requires an opc UA information model already filled with opc UA nodes corresponding to the available resources of its field devices. It is tricky to the Industrial Internet of Things, a scenario where random field devices can join a sys-tem at any time. Indeed, the opc UA server needs to dynamically discover such devices and update its opc UA information model with new relevant opc UA nodes. Regarding the above challenge, this paper introduces a Web-of-Things (WoT) approach that enables field devices to register with an opc UA server to join the system without manual configuration. The approach relies on WoT Discovery and WoT Thing Description",Industry;Internet of Things;OPC UA;Web of Things;Thing Description;Discovery,Runtime;Conferences;Semantics;Manuals;Production facilities;Registers;Servers,IEEE Conferences
3,['Redundancy and Availability (RA)'],Practical Implementation of an OPC UA Multi-Server Aggregation and Management Architecture for IIoT,"['C. Pu', ' X. Ding', ' P. Wang', ' Y. Yang']","2022 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)",2022,"The Open Platform Communication Unified Architecture (OPC UA) is a platform-independent service-oriented architecture, it has been widely used in industrial field network communication for its open, cross-platform, security, and extensible information model characteristics. The OPC UA supports clients/server (C/S) and publisher/subscriber (Pub/Sub) communication modes, using the Pub/Sub mode with the Time-Sensitive Networking (TSN) technology can greatly improve the real-time capability of the OPC UA. In factory field automation communication systems, various OPC UA servers are embedded in controllers, sensors, and actuators to enable the reliable exchange of information among each system with different data streams (i.e., real-time and non-real-time). It is hard to configure and manage such a large number of heterogeneous OPC UA servers. In this work, we propose an OPC UA multi-server aggregation and management architecture for industrial field networks, which supports the automatic discovery and aggregate of OPC UA servers, and a centralized configuration management method for OPC UA communication data streams is also supported. A laboratory-level OPC UA multi-server aggregation management platform is implemented to validate the proposed architecture. The test results demonstrate that the platform can support centralized management and configuration of multiple OPC UA servers and their corresponding data streams through a uniform OPC UA interface.",automated industry;OPC UA;TSN;server aggregation,Social computing;Data security;Configuration management;Production facilities;Real-time systems;Data models;Service-oriented architecture,IEEE Conferences
4,['Diagnostic and Monitoring (DM)'],Controlling CAN Servo Step Drives and Their Remote Monitoring by Using Protocol OPC UA,"['G. Martinov', ' A. Issa', ' L. Martinova']",2019 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon),2019,"The diverse requirements of customers in automation systems increase the need for improved adaptability, flexibility and of simplicity production processes. which creates new horizons for modern production systems. Fortunately, the achievements of the Industry 4.0 (fourth industrial revolution) have provided many solutions to these problems. In this study, an OPC UA-based solution is proposed for monitoring the working process of CAN servo drives. By integrating C++ based OPC UA libraries to implement common OPC UA functionality and developing protocol of interaction between the kernel of CNC system and OPC UA server. The aim of this work is to ensure the connection mechanism between OPC UA Server of CNC system and OPC UA clients which are currently existed on the market. This flexible model allows users to remotely tune and set up CAN servo drives and monitor their work.",OPC UA server;remote servo drives parametrization;monitoring historical data;CAN bus;CNC,Servers;Libraries;Servomotors;Automation;Monitoring;C++ languages;Protocols,IEEE Conferences
6,['Product Development (PD)'],OPC UA Server Development Technology Based on Domestic Industrial Control Configuration Software,"['Y. Hu', ' Y. Zhao', ' L. Wang', ' Z. Wang']",2022 IEEE International Conference on Advances in Electrical Engineering and Computer Applications (AEECA),2022,"Aiming at the problem of weak semantic information service ability of domestic industrial control configuration software, this paper studies the key technology of integrated application of industrial control configuration software and OPC UA, packages OPC UA server source code into functional blocks complying with IEC61131-3 international standard, on the basis of domestic AnyControl configuration software and its secondary development kit, and designs OPC UA information model creation module. Thus, OPC UA service can be opened through function blocks in configuration software and the OPC UA information model can be developed visually with low code. By verifying on Arm+Linux platform, this paper shows that the OPC UA service can be started quickly and a four-layer information model can be created by using the domestic configuration software. The OPC UA service function of the domestic industrial control configuration software is realized, which is beneficial for the industrial control system and software developers to quickly master the development technology of OPC UA.",Industrial control configuration software;OPC UA information models,Visualization;Codes;Runtime;Industrial control;Computational modeling;Source coding;Semantics,IEEE Conferences
7,['Integration (I)'],OPC UA server on Raspberry Pi and Arduino for didactic use,"['F. Rivera-Velazquez', ' E. Salazar-Valle', ' G. M. Mart&#x00ED', 'nez-&#x00C1', 'guilar']",2021 10th International Conference On Software Process Improvement (CIMPS),2021,"In the market there are different alternatives in communication protocols, but most of them turn out to be specific to technology providers, thus making the implementation of the OPC UA protocol mean the possibility of eliminating proprietary barriers and making production processes more efficient. That is why in this work a didactic and affordable OPC UA system mounted on a Raspberry Pi is proposed that allows the writing and reading of data for the control of the ranges and operating states of actuators and sensors, thus allowing to introduce young university students to what is an environment of Industry 4.0 and the Internet of Things (IoT) so that in their professional future they achieve a rapid adaptation to the productive sector.",OPC UA;Raspberry Pi;Arduino;UA Expert,Actuators;Protocols;Production;Writing;Software;Sensor systems;Sensors,IEEE Conferences
8,['Theory (T)'],OPC UA Information Modeling Method and Xml Definition,"['Y. Gong', ' Z. Wang', ' D. Han']","2020 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)",2020,"Through the different nodes in the address space of OPC UA Server, different OPC UA Clients can get a data set full of information, which includes variables, objects, methods, events and types. Customized data types can also be defined in the set. OPC UA Clients need to access the relevant type definition first, which describes the information structure and the encoding rules of the nodes they want to access. So, it's important to define a vendor specific type for a resource-constrained device server, and try to simplify the Complex data model. This article describes the basic structure of the standard OPC UA Address Space, which nodes are mandatory and which are optional in the UA Server. It proposes the principal of building a vendor UA Server, and introduce the open source tool UA-Model Compiler, which can help vendor to customize the minimal namespace0 contained in the UA Server.",OPC UA;Information Modeling;NodeSet2.xml,Computational modeling;XML;Tools;Telecommunications;Servers;Standards;Testing,IEEE Conferences
9,['Security (S)'],Honeypot Inside an OPC UA Wrapper for Water Pumping Stations,"['C. -A. Petre', ' A. Korodi']",2019 22nd International Conference on Control Systems and Computer Science (CSCS),2019,"The honeypot technologies provided several research themes in the past years, primarily for detection and information gathering against external threats. The water infrastructure and generally automation/SCADA systems may be vulnerable to attacks. In case of critical infrastructures, the protection is necessary because an eventual successful attack can cause major damages. The paper presents a solution for protecting water pumping stations from threats using a honeypot inside an OPC UA wrapping structure. As known, Industry 4.0 and Industrial Internet of Things concepts are moving the industry towards interoperability and interoperation. OPC UA is the defined and widely accepted interfacing solution. The transition to OPC UA for both new and legacy systems can be realized through wrappers, such middleware protocol conversion and data wrapping structures are studied and developed. The proposed honeypot is conceived for Node-RED based applications being able to access Modbus, S7, OPC UA local structures and exposing tags in OPC UA server. The implemented structure was tested proving satisfactory results.","honeypot, OPC UA, water pumping stations, Node RED, wrappers, industrial internet of things",,IEEE Conferences
10,['Product Development (PD)'],Hard Real-Time Capable OPC UA Server as Hardware Peripheral for Single Chip IoT Systems,"['C. P. Iatrou', ' H. Bauer', ' M. Graube', ' S. H̦ppner', ' J. Rahm', ' L. Urbas']",2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),2019,"The fast semantics project examines the use of the OPC Unified Architecture (OPC UA) in embedded industrial systems and proposes the design of a customizable, hard real time capable OPC UA Intellectual Property Core (IP Core) for single chip computing plattforms. This allows using OPC UA in both novel energy efficient sensor applications and in state of the art field devices. These single chip OPC UA servers form the semantic data sources for future applications such as cloud based added value services or machine learning applications. This article presents the design alternatives and first synthesis results for the implementation of OPC UA servers in embedded systems.",opc ua;process automation;iot;system on chip;soc;fpga;asic;intellectual property core;ip core,Random access memory;IP networks;Protocols;Semantics;Servers;Process control;Real-time systems,IEEE Conferences
11,"['Product Development (PD)', 'Diagnostic and Monitoring (DM)']",From Requirement Specification to OPC UA Information Model Design: A Product Assembly Line Monitoring Case Study,"['Q. -D. Nguyen', ' S. Dhouib', ' K. Suri', ' F. Rekik']",2022 IEEE 20th International Conference on Industrial Informatics (INDIN),2022,"Open Platform Communication Unified Architecture (OPC UA) has emerged as a highly-demanded standard in building industrial systems. One factor in this success is the concepts of OPC UA address space and OPC UA information model. OPC UA address space provides a mechanism to represent the resources of an OPC UA server and its field devices as OPC UA nodes. OPC UA information model structures OPC UA nodes as a schema. Once other devices and systems understand the schema, they can interact appropriately with the industrial system. Thus, designing the OPC UA information model is an undeniable and essential practice of OPC UA-based industrial system engineering. However, both academia and industry suffer from a lack of shared experiences on this subject. This gap motivated us to share our experiences on the development of an OPC UA information model. These experiences are based on an actual product assembly line monitoring case study developed at CEA LIST. Overall, in this paper, we aim to throw some light on the steps involved in the transformation of a requirement specification into an OPC UA information model.",OPC UA;Information model;Design;Product assembly line;Robotic cell;System engineering,Architecture;Buildings;Systems engineering and theory;Servers;Informatics;Monitoring;Standards,IEEE Conferences
12,"['Theory (T)', 'Integration (I)']",Mapping OPC UA AddressSpace to OCF resource model,"['S. Cavalieri', ' M. G. Salafia', ' M. S. Scroppo']",2018 IEEE Industrial Cyber-Physical Systems (ICPS),2018,"The paper presents a proposal to map OPC UA AddressSpace into Open Connectivity Foundation (OCF) Resource Model. The mapping is based on the ad-hoc definition of an OCF Device and OCF Resources, each of which models an OPC UA Node of an OPC UA AddressSpace. The proposal represents a first step to enable interoperability between OPC UA and OCF specifications, allowing an OCF Client to access information maintained by an OPC UA Server. The proposal is original as current literature does not provide for such kind of integration.",OPC UA;OCF;Interoperability;Industry 4.0;IoT,Servers;Interoperability;Proposals;Industries;Internet of Things;Computational modeling;Context modeling,IEEE Conferences
